권역,포함학교수,포함학교,총노선길이_m,권역중첩률평균_max,중심_x_5179,중심_y_5179,정책메모
R1,2,"남선초, 진잠초",44689.0,0.314,980636.6,1809912.7,공동활용 통학차량 도입 검토
R2,2,"산내초, 산흥초",44544.0,0.475,996568.2,1807951.9,공동활용 통학차량 도입 검토
