학교명,학교급,구,동,학생수,lat,lon,_지표1_원,_지표2_원,_지표3_원,_지표4_원,_지표5_원,영향사업수,영향사업목록,지표1_임박도,지표2_학생유입,지표3_수용여석,지표4_외곽성,지표5_트램접근성,종합점수,순위,점수설명
대전도안중학교,중,서구,도안동,941,36.3181204,127.3451717,0.0,0.0,941,3655.5415192295227,391.831566035125,0,,0.0,0.0,0.5848465873512837,0.2949108195657848,0.21633686792975004,0.1791,98,임박도=0.000 | 학생유입=0.000 | 수용여석=0.130 | 외곽성=0.049
대전신일중학교,중,중구,부사동,300,36.3091404,127.4345299,1.25,454.40000000000003,300,2301.3769111240117,928.2106654492953,5,대사동1(3_사업시행); 부사동4(3_사업시행); 부사동5(9_미정); 문창석교1(5_초기); 석교동(6_입안),0.2358490566037736,0.10348204322379358,0.18346900438321853,0.18372114025341738,0.0,0.1787,99,임박도=0.079 | 학생유입=0.029 | 수용여석=0.041 | 외곽성=0.031
호수돈여자중학교,중,중구,은행선화동,324,36.3265502,127.4134650,1.7000000000000002,355.28,324,441.87019468677977,560.1678822463584,6,용두동3(4_조합설립); 선화1-A(5_초기); 선화2(2_관리처분); 오류동1(3_사업시행); 문화동2(9_미정); 오류동삼성(9_미정),0.3207547169811321,0.08090911161212451,0.19849718221665624,0.031038110256712978,0.0,0.1787,99,임박도=0.107 | 학생유입=0.022 | 수용여석=0.044 | 외곽성=0.005
대전도안초등학교,초,서구,도안동,934,36.3217137,127.3446850,0.0,0.0,934,3636.924081006597,299.7407403971796,0,,0.0,0.0,0.580463368816531,0.2933821523910305,0.40051851920564085,0.1779,101,임박도=0.000 | 학생유입=0.000 | 수용여석=0.129 | 외곽성=0.049
대전대동초등학교,초,동구,대동,232,36.3251324,127.4468997,1.1,982.9799999999999,232,1129.337494902997,1068.7432876528271,4,대동4·8(3_사업시행); 신안1(5_초기); 판암6(5_초기); 신흥동5(5_초기),0.2075471698113208,0.22385734781717562,0.1408891671884784,0.0874856559917322,0.0,0.1773,102,임박도=0.069 | 학생유입=0.062 | 수용여석=0.031 | 외곽성=0.015
대전관저중학교,중,서구,관저1동,828,36.3056354,127.3397644,0.0,0.0,828,4593.783983814246,827.3280489770532,0,,0.0,0.0,0.5140889167188478,0.3719493702190687,0.0,0.1762,103,임박도=0.000 | 학생유입=0.000 | 수용여석=0.114 | 외곽성=0.062
대전계산초등학교,초,유성구,학하동,708,36.3438972,127.2993032,0.0,0.0,708,5775.318063573223,3965.2807783137273,0,,0.0,0.0,0.43894802755165935,0.46896445585834545,0.0,0.1757,104,임박도=0.000 | 학생유입=0.000 | 수용여석=0.098 | 외곽성=0.078
대전봉우중학교,중,서구,관저2동,729,36.2987466,127.3326745,0.0,0.0,729,5526.756374254008,366.62269825305066,0,,0.0,0.0,0.45209768315591736,0.4485551981068754,0.2667546034938987,0.1752,105,임박도=0.000 | 학생유입=0.000 | 수용여석=0.100 | 외곽성=0.075
유성초등학교,초,유성구,온천2동,108,36.3624162,127.3337025,1.2000000000000002,915.66,108,2087.5731445889437,1109.2031827647606,3,장대A(5_초기); 장대B(2_관리처분); 장대C(5_초기),0.22641509433962267,0.20852633736421394,0.06324358171571696,0.16616583560691003,0.0,0.1751,106,임박도=0.075 | 학생유입=0.058 | 수용여석=0.014 | 외곽성=0.028
대전경덕중학교,중,대덕구,오정동,227,36.3498310,127.4230613,0.9500000000000001,262.40000000000003,227,5017.737529303575,972.8036266603706,5,삼성5(4_조합설립); 삼성7(5_초기); 오정동1(9_미정); 홍도동3(6_입안); 홍도동2(3_사업시행),0.17924528301886794,0.059757236227824466,0.13775829680651222,0.4067599526875087,0.0,0.1748,107,임박도=0.060 | 학생유입=0.017 | 수용여석=0.031 | 외곽성=0.068
대전성룡초등학교,초,서구,월평3동,854,36.3619376,127.3735199,0.0,0.0,854,4224.687115183728,731.7592303300046,0,,0.0,0.0,0.530369442705072,0.3416430380253471,0.0,0.1748,107,임박도=0.000 | 학생유입=0.000 | 수용여석=0.118 | 외곽성=0.057
대전금동초등학교,초,서구,관저2동,672,36.2981969,127.3262661,0.0,0.0,672,6053.075252955055,400.08305117099695,0,,0.0,0.0,0.4164057608015028,0.4917709393753508,0.19983389765800608,0.1745,109,임박도=0.000 | 학생유입=0.000 | 수용여석=0.093 | 외곽성=0.082
대전느리울중학교,중,서구,관저2동,760,36.2973786,127.3395222,0.0,0.0,760,5104.389633581387,700.7212395537973,0,,0.0,0.0,0.4715090795241077,0.41387490727184906,0.0,0.1738,110,임박도=0.000 | 학생유입=0.000 | 수용여석=0.105 | 외곽성=0.069
대전복용초등학교,초,유성구,상대동,802,36.3350119,127.3276981,0.0,0.0,802,4589.387176799473,1556.0959518193538,0,,0.0,0.0,0.4978083907326237,0.37158835091680315,0.0,0.1726,111,임박도=0.000 | 학생유입=0.000 | 수용여석=0.111 | 외곽성=0.062
남선초등학교,초,유성구,진잠동,44,36.2873073,127.2646541,0.0,0.0,44,12242.730722462826,5194.433407409505,0,,0.0,0.0,0.023168440826549782,1.0,0.0,0.1718,112,임박도=0.000 | 학생유입=0.000 | 수용여석=0.005 | 외곽성=0.167
대전구봉중학교,중,서구,관저2동,687,36.3004178,127.3301551,0.0,0.0,687,5628.074806748785,463.39690138805787,0,,0.0,0.0,0.4257983719474014,0.4568743964894757,0.07320619722388422,0.1708,113,임박도=0.000 | 학생유입=0.000 | 수용여석=0.095 | 외곽성=0.076
대전용전초등학교,초,동구,용전동,534,36.3561565,127.4303126,0.55,362.88,534,2937.329329641743,315.17734789041555,2,송촌동1(6_입안); 홍도동2(3_사업시행),0.1037735849056604,0.08263988522238162,0.32999373825923606,0.23593882859769985,0.36964530421916886,0.1702,114,임박도=0.035 | 학생유입=0.023 | 수용여석=0.073 | 외곽성=0.039
구즉초등학교,초,유성구,구즉동,418,36.4407059,127.3822122,0.0,0.0,418,8213.642607766793,5541.91241406257,0,,0.0,0.0,0.2573575453976205,0.6691738857205334,0.0,0.1687,115,임박도=0.000 | 학생유입=0.000 | 수용여석=0.057 | 외곽성=0.112
중리중학교,중,대덕구,중리동,115,36.3665971,127.4274172,1.5,254.16,115,3219.9730057805587,682.0990439779857,4,대화동1(2_관리처분); 대화동4(4_조합설립); 법동2(3_사업시행); 중리주공2(9_미정),0.2830188679245283,0.05788071326091412,0.06762680025046963,0.25914653873975585,0.0,0.1686,116,임박도=0.094 | 학생유입=0.016 | 수용여석=0.015 | 외곽성=0.043
대전매봉중학교,중,대덕구,송촌동,656,36.3693507,127.4360113,0.5,53.28,656,3186.9555841296174,958.6274105113804,2,법동2(3_사업시행); 중리주공2(9_미정),0.09433962264150944,0.01213363394138143,0.406386975579211,0.25643549718460446,0.0,0.1679,117,임박도=0.031 | 학생유입=0.003 | 수용여석=0.090 | 외곽성=0.043
유성중학교,중,유성구,상대동,892,36.3458300,127.3347128,0.0,0.0,892,3240.4538273827216,965.9400914114176,0,,0.0,0.0,0.554164057608015,0.260828207255066,0.0,0.1666,118,임박도=0.000 | 학생유입=0.000 | 수용여석=0.123 | 외곽성=0.043
산흥초등학교,초,동구,산내동,54,36.2289750,127.4483897,0.0,0.0,54,11761.169325397055,9414.213898456084,0,,0.0,0.0,0.029430181590482152,0.9604592698786685,0.0,0.1666,118,임박도=0.000 | 학생유입=0.000 | 수용여석=0.007 | 외곽성=0.160
대전호수초등학교,초,서구,도안동,897,36.3204731,127.3502082,0.0,0.0,897,3162.992289425,215.232081383405,0,,0.0,0.0,0.5572949279899813,0.25446788480016785,0.56953583723319,0.1663,120,임박도=0.000 | 학생유입=0.000 | 수용여석=0.124 | 외곽성=0.042
대전전민중학교,중,유성구,전민동,638,36.4014675,127.4055557,0.0,0.0,638,5722.055725428346,1704.7056238507084,0,,0.0,0.0,0.39511584220413276,0.46459111582102086,0.0,0.1652,121,임박도=0.000 | 학생유입=0.000 | 수용여석=0.088 | 외곽성=0.077
