학교명,학교급,구,동,학생수,lat,lon,_지표1_원,_지표2_원,_지표3_원,_지표4_원,_지표5_원,영향사업수,영향사업목록,지표1_임박도,지표2_학생유입,지표3_수용여석,지표4_외곽성,지표5_트램접근성,종합점수,순위,점수설명
산내초등학교,초,동구,산내동,395,36.2792732,127.4700311,0.0,0.0,395,6437.519625866305,5279.3723464264585,0,,0.0,0.0,0.2429555416405761,0.5233374463432509,0.0,0.1412,153,임박도=0.000 | 학생유입=0.000 | 수용여석=0.054 | 외곽성=0.087
대전덕명중학교,중,유성구,학하동,494,36.3458099,127.3027397,0.0,0.0,494,5402.205720491024,3610.8531155752385,0,,0.0,0.0,0.30494677520350655,0.4383284153604068,0.0,0.1408,154,임박도=0.000 | 학생유입=0.000 | 수용여석=0.068 | 외곽성=0.073
대전원신흥초등학교복용분교장,초,유성구,상대동,669,36.3467430,127.3303713,0.0,0.0,669,3396.6742669553028,1302.283572645024,0,,0.0,0.0,0.4145272385723231,0.27365537795066797,0.0,0.1377,155,임박도=0.000 | 학생유입=0.000 | 수용여석=0.092 | 외곽성=0.046
한밭여자중학교,중,동구,대동,372,36.3299454,127.4489263,0.9,353.91999999999996,372,568.8811175404272,1283.871150780783,3,대동4·8(3_사업시행); 신안1(5_초기); 신흥동5(5_초기),0.169811320754717,0.0805993942292364,0.2285535378835316,0.0414669042871685,0.0,0.1367,156,임박도=0.057 | 학생유입=0.022 | 수용여석=0.051 | 외곽성=0.007
대전둔곡중학교,중,유성구,구즉동,79,36.4534382,127.3646634,0.0,0.0,79,9295.635767040461,7649.421222738185,0,,0.0,0.0,0.045084533500313086,0.7580157234688439,0.0,0.1364,157,임박도=0.000 | 학생유입=0.000 | 수용여석=0.010 | 외곽성=0.126
대전죽동초등학교,초,유성구,온천2동,818,36.3704210,127.3356513,0.0,0.0,818,1736.2975770959824,759.3775364587467,0,,0.0,0.0,0.5078271759549154,0.1373228002284747,0.0,0.1357,158,임박도=0.000 | 학생유입=0.000 | 수용여석=0.113 | 외곽성=0.023
대전노은초등학교,초,유성구,노은1동,686,36.3689340,127.3212215,0.0,0.0,686,3032.4261898830587,2017.695143156514,0,,0.0,0.0,0.42517219787100813,0.24374717725085052,0.0,0.1351,159,임박도=0.000 | 학생유입=0.000 | 수용여석=0.094 | 외곽성=0.041
청란여자중학교,중,중구,부사동,20,36.3109466,127.4296172,1.4,319.36,20,1875.459791327787,751.8452451180093,6,대사동1(3_사업시행); 대사동4(9_미정); 대흥동1(4_조합설립); 부사동4(3_사업시행); 부사동5(9_미정); 문창석교1(5_초기),0.2641509433962264,0.07272892896996197,0.008140262993112084,0.14874932982481437,0.0,0.1349,160,임박도=0.088 | 학생유입=0.020 | 수용여석=0.002 | 외곽성=0.025
대전삼천초등학교,초,서구,둔산3동,631,36.3539594,127.4012153,0.0,0.0,631,3526.437361857194,70.89561897331052,0,,0.0,0.0,0.3907326236693801,0.2843101512495411,0.8582087620533789,0.1342,161,임박도=0.000 | 학생유입=0.000 | 수용여석=0.087 | 외곽성=0.047
대전서원초등학교,초,서구,둔산2동,585,36.3593773,127.3943323,0.0,0.0,585,3904.045842100368,405.73902366038277,0,,0.0,0.0,0.36192861615529115,0.31531536699108087,0.18852195267923444,0.133,162,임박도=0.000 | 학생유입=0.000 | 수용여석=0.080 | 외곽성=0.053
기성초등학교,초,서구,기성동,33,36.2487568,127.3380289,0.0,0.0,33,9450.446439210937,4194.948733838227,0,,0.0,0.0,0.01628052598622417,0.7707271389716083,0.0,0.1321,163,임박도=0.000 | 학생유입=0.000 | 수용여석=0.004 | 외곽성=0.128
신탄중앙중학교,중,대덕구,덕암동,265,36.4413849,127.4243139,0.25,150.24,265,5159.641146356687,4135.736277304939,2,덕암동1(5_초기); 신탄진동1(6_입안),0.04716981132075472,0.034214661474345834,0.16155291170945524,0.4184115772972188,0.0,0.1309,164,임박도=0.016 | 학생유입=0.010 | 수용여석=0.036 | 외곽성=0.070
대전법동중학교,중,대덕구,법2동,364,36.3667155,127.4333447,0.5,53.28,364,3357.9275125675927,601.8553305026713,2,법동2(3_사업시행); 중리주공2(9_미정),0.09433962264150944,0.01213363394138143,0.22354414527238572,0.27047390417046646,0.0,0.1296,165,임박도=0.031 | 학생유입=0.003 | 수용여석=0.050 | 외곽성=0.045
대전선암초등학교,초,서구,관저2동,401,36.2975283,127.3340098,0.0,0.0,401,5498.987645863344,386.4112779266861,0,,0.0,0.0,0.2467125860989355,0.4462751237450224,0.22717744414662777,0.1292,166,임박도=0.000 | 학생유입=0.000 | 수용여석=0.055 | 외곽성=0.074
대전둔원중학교,중,서구,갈마2동,576,36.3425045,127.3765274,0.2,155.44,576,2085.2001764138386,1633.5908931664492,1,내동2(4_조합설립),0.03773584905660378,0.03539887499715333,0.35629304946775203,0.1659709925510296,0.0,0.1292,166,임박도=0.013 | 학생유입=0.010 | 수용여석=0.079 | 외곽성=0.028
대전동도초등학교,초,대덕구,오정동,73,36.3478144,127.4124032,0.4,362.34000000000003,73,5278.078459950442,1157.601890862202,4,삼성5(4_조합설립); 삼성7(5_초기); 오정동1(9_미정); 중촌시영(9_미정),0.07547169811320756,0.08251690920270548,0.041327489041953665,0.42813639718859925,0.0,0.1286,168,임박도=0.025 | 학생유입=0.023 | 수용여석=0.009 | 외곽성=0.071
기성중학교,중,서구,기성동,29,36.2499908,127.3411563,0.0,0.0,29,9204.566040453105,4171.646295222215,0,,0.0,0.0,0.013775829680651221,0.7505380404503227,0.0,0.1282,169,임박도=0.000 | 학생유입=0.000 | 수용여석=0.003 | 외곽성=0.125
대전동광초등학교,초,동구,자양동,112,36.3372049,127.4499000,0.9,857.3399999999999,112,244.7340584694413,950.6205359050974,3,대동4·8(3_사업시행); 가양동1(4_조합설립); 자양동2(4_조합설립),0.169811320754717,0.19524492723918832,0.06574827802128992,0.014851375176145012,0.0,0.1279,170,임박도=0.057 | 학생유입=0.054 | 수용여석=0.015 | 외곽성=0.002
대전상대초등학교,초,유성구,상대동,634,36.3474262,127.3365151,0.0,0.0,634,3003.330983246243,875.349725893368,0,,0.0,0.0,0.3926111458985598,0.24135818652098603,0.0,0.1275,171,임박도=0.000 | 학생유입=0.000 | 수용여석=0.087 | 외곽성=0.040
대전봉명초등학교,초,유성구,원신흥동,684,36.3496096,127.3434709,0.0,0.0,684,2487.032035243446,528.6545969920073,0,,0.0,0.0,0.42391984971822166,0.19896517601537494,0.0,0.1274,172,임박도=0.000 | 학생유입=0.000 | 수용여석=0.094 | 외곽성=0.033
대전비래초등학교,초,대덕구,비래동,217,36.3616260,127.4512659,0.1,445.67999999999995,217,4644.215473973962,1376.0657235025565,2,비래동2(6_입안); 비래동3(6_입안),0.01886792452830189,0.1014962082393933,0.13149655604257984,0.37609027095191866,0.0,0.1264,173,임박도=0.006 | 학생유입=0.028 | 수용여석=0.029 | 외곽성=0.063
대전대정초등학교,초,유성구,진잠동,260,36.3152767,127.3232795,0.0,0.0,260,6704.259053286253,2136.8461436615153,0,,0.0,0.0,0.15842204132748905,0.5452392677446248,0.0,0.1261,174,임박도=0.000 | 학생유입=0.000 | 수용여석=0.035 | 외곽성=0.091
대전괴정중학교,중,서구,괴정동,555,36.3402017,127.3790856,0.2,155.44,555,1767.7611602868578,1780.2616184226777,1,내동2(4_조합설립),0.03773584905660378,0.03539887499715333,0.3431433938634941,0.13990625699884898,0.0,0.122,175,임박도=0.013 | 학생유입=0.010 | 수용여석=0.076 | 외곽성=0.023
대전봉명중학교,중,유성구,원신흥동,642,36.3496520,127.3446292,0.0,0.0,642,2441.290128947341,565.4039207910289,0,,0.0,0.0,0.3976205385097057,0.1952093343239312,0.0,0.1209,176,임박도=0.000 | 학생유입=0.000 | 수용여석=0.088 | 외곽성=0.033
대전법동초등학교,초,대덕구,법2동,289,36.3693345,127.4325902,0.5,119.88,289,3062.6422392911822,876.4492352321838,2,법동2(3_사업시행); 중리주공2(9_미정),0.09433962264150944,0.027300676368108217,0.17658108954289292,0.24622819973782584,0.0,0.1193,177,임박도=0.031 | 학생유입=0.008 | 수용여석=0.039 | 외곽성=0.041
대전둔산중학교,중,서구,갈마1동,541,36.3533151,127.3722520,0.0,0.0,541,3342.605653850449,1060.6873201875007,0,,0.0,0.0,0.3343769567939887,0.2692158351388057,0.0,0.1192,178,임박도=0.000 | 학생유입=0.000 | 수용여석=0.074 | 외곽성=0.045
대전목상초등학교,초,대덕구,목상동,161,36.4457981,127.4126245,0.2,132.12,161,5673.3130312671965,4741.924348027162,1,덕암동1(5_초기),0.03773584905660378,0.03008813281410125,0.09643080776455855,0.46058888115903157,0.0,0.1191,179,임박도=0.013 | 학생유입=0.008 | 수용여석=0.021 | 외곽성=0.077
대전정림초등학교,초,서구,정림동,444,36.3036623,127.3665373,0.2,98.82,444,2889.3919331611282,434.04622640738756,1,정림동1(5_초기),0.03773584905660378,0.022504611600737853,0.2736380713838447,0.23200271646639387,0.1319075471852249,0.1183,180,임박도=0.013 | 학생유입=0.006 | 수용여석=0.061 | 외곽성=0.039
대전새미래중학교,중,유성구,노은3동,406,36.3792504,127.3050716,0.0,0.0,406,4594.598849594195,3671.72019597042,0,,0.0,0.0,0.2498434564809017,0.3720162783809072,0.0,0.1175,181,임박도=0.000 | 학생유입=0.000 | 수용여석=0.056 | 외곽성=0.062
대덕중학교,중,유성구,신성동,529,36.3791884,127.3771598,0.2,21.04,529,2233.788032210787,543.6163453517382,1,도룡동2(5_초기),0.03773584905660378,0.004791510099974949,0.32686286787726987,0.1781714561703592,0.0,0.1162,182,임박도=0.013 | 학생유입=0.001 | 수용여석=0.073 | 외곽성=0.030
대전갑천초등학교,초,서구,월평3동,426,36.3608614,127.3676786,0.0,0.0,426,4270.691539755229,1133.5701170799505,0,,0.0,0.0,0.2623669380087664,0.3454204349418206,0.0,0.1159,183,임박도=0.000 | 학생유입=0.000 | 수용여석=0.058 | 외곽성=0.058
대전자운초등학교,초,유성구,신성동,357,36.4123998,127.3387617,0.0,0.0,357,4923.375226313991,4911.651695649918,0,,0.0,0.0,0.21916092673763307,0.3990119181090044,0.0,0.1152,184,임박도=0.000 | 학생유입=0.000 | 수용여석=0.049 | 외곽성=0.067
대전지족중학교,중,유성구,노은2동,520,36.3778461,127.3210215,0.0,0.0,520,3169.707548762073,2293.373559144001,0,,0.0,0.0,0.32122730118973075,0.2550192708929067,0.0,0.1139,185,임박도=0.000 | 학생유입=0.000 | 수용여석=0.071 | 외곽성=0.043
대전하기중학교,중,유성구,노은2동,494,36.3858474,127.3223229,0.0,0.0,494,3417.7056561524246,2732.231286522599,0,,0.0,0.0,0.30494677520350655,0.2753822532554311,0.0,0.1137,186,임박도=0.000 | 학생유입=0.000 | 수용여석=0.068 | 외곽성=0.046
문지초등학교,초,유성구,전민동,339,36.3958310,127.3994116,0.0,0.0,339,4906.731170775081,2411.73825416909,0,,0.0,0.0,0.20788979336255478,0.3976452842546329,0.0,0.1125,187,임박도=0.000 | 학생유입=0.000 | 수용여석=0.046 | 외곽성=0.066
대전판암초등학교,초,동구,판암1동,285,36.3159027,127.4605179,0.4,279.18,285,2319.1272550072354,2297.4791853212446,2,판암2(5_초기); 판암6(5_초기),0.07547169811320756,0.06357860217257634,0.17407639323731997,0.18517861080924666,0.0,0.1124,188,임박도=0.025 | 학생유입=0.018 | 수용여석=0.039 | 외곽성=0.031
대전양지초등학교,초,대덕구,법2동,178,36.3656527,127.4334862,0.5,119.88,178,3472.72923778589,493.04283766387465,2,법동2(3_사업시행); 중리주공2(9_미정),0.09433962264150944,0.027300676368108217,0.10707576706324358,0.27990020798547094,0.013914324672250733,0.1095,189,임박도=0.031 | 학생유입=0.008 | 수용여석=0.024 | 외곽성=0.047
대전서중학교,중,서구,괴정동,161,36.3357952,127.3740189,0.6000000000000001,438.96,161,1550.845483745147,2400.9073398872147,3,변동A(4_조합설립); 내동1(5_초기); 내동2(4_조합설립),0.11320754716981134,0.09996583999453439,0.09643080776455855,0.12209543520648178,0.0,0.1073,190,임박도=0.038 | 학생유입=0.028 | 수용여석=0.021 | 외곽성=0.020
대전석봉초등학교,초,대덕구,신탄진동,84,36.4470316,127.4347803,0.05,205.92,84,5921.616390224591,4854.1074919474595,1,신탄진동1(6_입안),0.009433962264150945,0.046894855503176874,0.048215403882279274,0.48097692755265375,0.0,0.1071,191,임박도=0.003 | 학생유입=0.013 | 수용여석=0.011 | 외곽성=0.080
대전지족초등학교,초,유성구,노은2동,426,36.3805555,127.3172754,0.0,0.0,426,3580.6893883551375,2732.4392515365316,0,,0.0,0.0,0.2623669380087664,0.28876475402991625,0.0,0.1064,192,임박도=0.000 | 학생유입=0.000 | 수용여석=0.058 | 외곽성=0.048
회덕초등학교,초,대덕구,회덕동,112,36.3744450,127.4214085,0.7,273.06,112,2283.495139939498,1004.4797787628418,3,대화동4(4_조합설립); 법동2(3_사업시행); 중리주공2(9_미정),0.1320754716981132,0.062184873949579826,0.06574827802128992,0.18225287827725717,0.0,0.1063,193,임박도=0.044 | 학생유입=0.017 | 수용여석=0.015 | 외곽성=0.030
대전관저초등학교,초,서구,관저1동,331,36.3065734,127.3398901,0.0,0.0,331,4535.968488356692,825.8806385482643,0,,0.0,0.0,0.2028804007514089,0.36720217304618985,0.0,0.1063,193,임박도=0.000 | 학생유입=0.000 | 수용여석=0.045 | 외곽성=0.061
대전둔원초등학교,초,서구,,540,36.3436193,127.3742794,0.0,0.0,540,2278.3847064035385,1636.6804179202088,0,,0.0,0.0,0.3337507827175955,0.1818332635106259,0.0,0.1045,195,임박도=0.000 | 학생유입=0.000 | 수용여석=0.074 | 외곽성=0.030
대전상지초등학교,초,유성구,노은1동,466,36.3753649,127.3221130,0.0,0.0,466,3009.448318658727,2088.975157161003,0,,0.0,0.0,0.28741390106449594,0.2418604774232065,0.0,0.1042,196,임박도=0.000 | 학생유입=0.000 | 수용여석=0.064 | 외곽성=0.040
대전문정초등학교,초,서구,둔산3동,460,36.3505437,127.3958379,0.0,0.0,460,2995.62236445784,584.9765270986469,0,,0.0,0.0,0.2836568566061365,0.2407252362534237,0.0,0.1032,197,임박도=0.000 | 학생유입=0.000 | 수용여석=0.063 | 외곽성=0.040
대전대룡초등학교,초,동구,용운동,267,36.3299141,127.4558657,0.5,398.34,267,771.6072438231075,1878.909119905017,1,대동4·8(3_사업시행),0.09433962264150944,0.09071531051444967,0.1628052598622417,0.05811263024595344,0.0,0.1025,198,임박도=0.031 | 학생유입=0.025 | 수용여석=0.036 | 외곽성=0.010
대전대암초등학교,초,동구,판암2동,91,36.3234310,127.4571693,0.6000000000000001,537.8399999999999,91,1435.5298333510398,2009.4075959640531,3,판암2(5_초기); 판암6(5_초기); 신흥동5(5_초기),0.11320754716981134,0.12248411559745846,0.052598622417031934,0.11262693329004501,0.0,0.1022,199,임박도=0.038 | 학생유입=0.034 | 수용여석=0.012 | 외곽성=0.019
대전산성초등학교,초,중구,산성동,327,36.2990113,127.3854134,0.0,0.0,327,4107.003392618204,1484.7805888613732,0,,0.0,0.0,0.20037570444583594,0.3319800950610848,0.0,0.0999,200,임박도=0.000 | 학생유입=0.000 | 수용여석=0.045 | 외곽성=0.055
대전만년중학교,중,서구,만년동,250,36.3670425,127.3759751,0.0,0.0,250,4733.1975805868315,514.0185033710642,0,,0.0,0.0,0.15216030056355667,0.38339654069165546,0.0,0.0977,201,임박도=0.000 | 학생유입=0.000 | 수용여석=0.034 | 외곽성=0.064
대전하기초등학교,초,유성구,노은2동,348,36.3885740,127.3215859,0.0,0.0,348,3636.8976696989994,2998.6060655167107,0,,0.0,0.0,0.21352536005009393,0.29337998377371144,0.0,0.0964,202,임박도=0.000 | 학생유입=0.000 | 수용여석=0.047 | 외곽성=0.049
학하초등학교,초,유성구,학하동,156,36.3343471,127.3122319,0.0,0.0,156,5510.441472501759,2920.632046971122,0,,0.0,0.0,0.09329993738259236,0.4472155908811458,0.0,0.0953,203,임박도=0.000 | 학생유입=0.000 | 수용여석=0.021 | 외곽성=0.075
산서초등학교,초,중구,산성동,57,36.2668849,127.4093374,0.0,0.0,57,6492.895236868142,5003.548271541778,0,,0.0,0.0,0.031308703819661866,0.5278843060028269,0.0,0.095,204,임박도=0.000 | 학생유입=0.000 | 수용여석=0.007 | 외곽성=0.088
대전용전중학교,중,대덕구,중리동,271,36.3567180,127.4252389,0.0,0.0,271,4272.225879983185,490.1887684613969,1,오정동1(9_미정),0.0,0.0,0.16530995616781466,0.34554641873794206,0.019622463077206276,0.0943,205,임박도=0.000 | 학생유입=0.000 | 수용여석=0.037 | 외곽성=0.058
대전둔산초등학교,초,서구,둔산2동,407,36.3499471,127.3814036,0.0,0.0,407,2785.9164959783116,699.2725363607767,0,,0.0,0.0,0.25046963055729493,0.22350640766597366,0.0,0.0929,206,임박도=0.000 | 학생유입=0.000 | 수용여석=0.056 | 외곽성=0.037
대전둔천초등학교,초,서구,만년동,194,36.3684922,127.3740023,0.0,0.0,194,4924.107444863178,749.5700748050232,0,,0.0,0.0,0.11709455228553538,0.399072040154126,0.0,0.0925,207,임박도=0.000 | 학생유입=0.000 | 수용여석=0.026 | 외곽성=0.067
대전문지중학교,중,유성구,전민동,190,36.3968298,127.3990807,0.0,0.0,190,4948.474697879259,2399.7298754589174,0,,0.0,0.0,0.11458985597996243,0.40107282132383315,0.0,0.0923,208,임박도=0.000 | 학생유입=0.000 | 수용여석=0.025 | 외곽성=0.067
대전원앙초등학교,초,서구,관저1동,224,36.3114556,127.3378000,0.0,0.0,224,4495.351172253126,794.7883493219641,0,,0.0,0.0,0.1358797745773325,0.36386710851632975,0.0,0.0908,209,임박도=0.000 | 학생유입=0.000 | 수용여석=0.030 | 외곽성=0.061
대전봉산초등학교,초,서구,갈마1동,368,36.3451704,127.3659116,0.0,0.0,368,2817.849171161764,1850.3564210470706,0,,0.0,0.0,0.22604884157795868,0.22612838131081833,0.0,0.0879,210,임박도=0.000 | 학생유입=0.000 | 수용여석=0.050 | 외곽성=0.038
덕송초등학교,초,유성구,학하동,157,36.3611802,127.3019117,0.0,0.0,157,4861.996767007505,3649.1021178220167,0,,0.0,0.0,0.09392611145898559,0.3939721680179699,0.0,0.0865,211,임박도=0.000 | 학생유입=0.000 | 수용여석=0.021 | 외곽성=0.066
가수원초등학교,초,서구,가수원동,258,36.3031409,127.3533137,0.0,0.0,258,3737.606024656113,461.3037268199327,0,,0.0,0.0,0.15716969317470256,0.3016490890395943,0.0773925463601346,0.0852,212,임박도=0.000 | 학생유입=0.000 | 수용여석=0.035 | 외곽성=0.050
대전만년초등학교,초,서구,만년동,159,36.3671306,127.3773117,0.0,0.0,159,4723.825427050919,421.0646792968085,0,,0.0,0.0,0.09517845961177207,0.38262699854006854,0.15787064140638296,0.0849,213,임박도=0.000 | 학생유입=0.000 | 수용여석=0.021 | 외곽성=0.064
대전갈마초등학교,초,서구,갈마1동,233,36.3559583,127.3693227,0.0,0.0,233,3710.9467634563184,1235.4078501358474,0,,0.0,0.0,0.14151534126487164,0.2994601123924666,0.0,0.0814,214,임박도=0.000 | 학생유입=0.000 | 수용여석=0.031 | 외곽성=0.050
대전용운초등학교,초,동구,용운동,442,36.3262366,127.4637546,0.0,0.0,442,1571.2400452971556,2566.530022577389,0,,0.0,0.0,0.27238572323105825,0.12377002095854678,0.0,0.0812,215,임박도=0.000 | 학생유입=0.000 | 수용여석=0.061 | 외곽성=0.021
대전남선중학교,중,서구,월평2동,160,36.3632381,127.3723060,0.0,0.0,160,4391.711090038649,790.0582347888474,0,,0.0,0.0,0.09580463368816532,0.3553572808067894,0.0,0.0805,216,임박도=0.000 | 학생유입=0.000 | 수용여석=0.021 | 외곽성=0.059
오정중학교,중,대덕구,오정동,92,36.3510997,127.4078997,0.0,0.0,92,4988.995820345709,626.6978484067308,0,,0.0,0.0,0.053224796493425174,0.40439998744931993,0.0,0.0792,217,임박도=0.000 | 학생유입=0.000 | 수용여석=0.012 | 외곽성=0.067
대전원신흥초등학교,초,유성구,원신흥동,243,36.3409794,127.3425185,0.0,0.0,243,3408.2395035539344,188.66959326721397,0,,0.0,0.0,0.14777708202880402,0.2746049928947275,0.622660813465572,0.0786,218,임박도=0.000 | 학생유입=0.000 | 수용여석=0.033 | 외곽성=0.046
대전자운중학교,중,유성구,신성동,98,36.4118922,127.3382419,0.0,0.0,98,4883.763432394207,4860.053191803899,0,,0.0,0.0,0.056981840951784594,0.3957594164289536,0.0,0.0786,218,임박도=0.000 | 학생유입=0.000 | 수용여석=0.013 | 외곽성=0.066
대전용운중학교,중,동구,용운동,405,36.3253321,127.4650305,0.0,0.0,405,1723.3005919003588,2685.157548021833,0,,0.0,0.0,0.24921728240450847,0.1362556252282724,0.0,0.0781,220,임박도=0.000 | 학생유입=0.000 | 수용여석=0.055 | 외곽성=0.023
대전월평중학교,중,서구,월평1동,197,36.3565812,127.3678135,0.0,0.0,197,3827.5079335098403,1176.8694437834397,0,,0.0,0.0,0.11897307451471509,0.3090308832137903,0.0,0.078,221,임박도=0.000 | 학생유입=0.000 | 수용여석=0.026 | 외곽성=0.052
대전어은초등학교,초,유성구,온천2동,510,36.3648963,127.3536946,0.0,0.0,510,578.0960980759104,622.6744106636536,0,,0.0,0.0,0.3149655604257984,0.04222354105383421,0.0,0.077,222,임박도=0.000 | 학생유입=0.000 | 수용여석=0.070 | 외곽성=0.007
대전어은중학교,중,유성구,온천2동,505,36.3656666,127.3528190,0.0,0.0,505,518.9618461576964,725.2440066546764,0,,0.0,0.0,0.3118346900438322,0.037368061544321984,0.0,0.0755,223,임박도=0.000 | 학생유입=0.000 | 수용여석=0.069 | 외곽성=0.006
금성초등학교,초,유성구,신성동,338,36.3893002,127.3500818,0.0,0.0,338,2185.7919571035322,2312.977884242943,0,,0.0,0.0,0.20726361928616155,0.17423052597067393,0.0,0.0751,224,임박도=0.000 | 학생유입=0.000 | 수용여석=0.046 | 외곽성=0.029
새일초등학교,초,대덕구,덕암동,149,36.4317546,127.4195224,0.0,0.0,149,4077.1320466944244,3097.1027590161693,0,,0.0,0.0,0.08891671884783969,0.3295273759795098,0.0,0.0747,225,임박도=0.000 | 학생유입=0.000 | 수용여석=0.020 | 외곽성=0.055
대전정림중학교,중,서구,정림동,138,36.2935839,127.3609965,0.0,0.0,138,4097.15447620464,836.5842897728259,0,,0.0,0.0,0.08202880400751408,0.33117140618305346,0.0,0.0734,226,임박도=0.000 | 학생유입=0.000 | 수용여석=0.018 | 외곽성=0.055
가수원중학교,중,서구,가수원동,143,36.2982823,127.3548124,0.0,0.0,143,4015.8021749275513,265.4321426635651,0,,0.0,0.0,0.08515967438948027,0.3244916153834864,0.46913571467286974,0.073,227,임박도=0.000 | 학생유입=0.000 | 수용여석=0.019 | 외곽성=0.054
동명초등학교,초,동구,대청동,46,36.3741217,127.4742921,0.0,0.0,46,4856.032187734834,3629.8380219014352,0,,0.0,0.0,0.024420788979336257,0.3934824198347787,0.0,0.071,228,임박도=0.000 | 학생유입=0.000 | 수용여석=0.005 | 외곽성=0.066
대전월평초등학교,초,서구,월평1동,110,36.3557995,127.3581040,0.0,0.0,110,4182.911795884826,479.29066578619285,0,,0.0,0.0,0.06449592986850344,0.338212890517272,0.041418668427614325,0.0707,229,임박도=0.000 | 학생유입=0.000 | 수용여석=0.014 | 외곽성=0.056
대전체육중학교,중,유성구,원신흥동,135,36.3362651,127.3423687,0.0,0.0,135,3909.7872700439534,507.52135900969694,0,,0.0,0.0,0.08015028177833437,0.31578679234662566,0.0,0.0705,230,임박도=0.000 | 학생유입=0.000 | 수용여석=0.018 | 외곽성=0.053
대전수정초등학교,초,유성구,노은1동,146,36.3661138,127.3134568,0.0,0.0,146,3751.5720788993576,2723.8789838356142,0,,0.0,0.0,0.08703819661865998,0.302795833743503,0.0,0.0698,231,임박도=0.000 | 학생유입=0.000 | 수용여석=0.019 | 외곽성=0.050
동신중학교,중,동구,판암2동,71,36.3200355,127.4596430,0.4,124.08000000000001,71,1871.9660484079593,2229.8496352658094,2,판암2(5_초기); 판암6(5_초기),0.07547169811320756,0.028257156521145042,0.040075140889167186,0.14846246059744697,0.0,0.0667,232,임박도=0.025 | 학생유입=0.008 | 수용여석=0.009 | 외곽성=0.025
대전송림초등학교,초,유성구,노은2동,184,36.3888958,127.3323062,0.0,0.0,184,2921.6952884877364,2502.6940959050567,0,,0.0,0.0,0.110832811521603,0.23465512644519546,0.0,0.0637,233,임박도=0.000 | 학생유입=0.000 | 수용여석=0.025 | 외곽성=0.039
성덕중학교,중,유성구,신성동,257,36.3866583,127.3448873,0.0,0.0,257,2058.4014800499035,2039.1202785279006,0,,0.0,0.0,0.15654351909830932,0.1637705669625451,0.0,0.0621,234,임박도=0.000 | 학생유입=0.000 | 수용여석=0.035 | 외곽성=0.027
대전성천초등학교,초,서구,월평2동,29,36.3631631,127.3734766,0.0,0.0,29,4357.562716031079,689.6556075538515,0,,0.0,0.0,0.013775829680651221,0.3525533774022746,0.0,0.0618,235,임박도=0.000 | 학생유입=0.000 | 수용여석=0.003 | 외곽성=0.059
대전수미초등학교,초,서구,정림동,61,36.2953352,127.3615389,0.0,0.0,61,3906.7872007191895,823.0666989179342,0,,0.0,0.0,0.033813400125234816,0.31554045837501044,0.0,0.0601,236,임박도=0.000 | 학생유입=0.000 | 수용여석=0.008 | 외곽성=0.053
세천초등학교,초,동구,대청동,47,36.3415266,127.4937835,0.0,0.0,47,3995.316923787075,4248.596607933325,0,,0.0,0.0,0.025046963055729492,0.3228095831613259,0.0,0.0594,237,임박도=0.000 | 학생유입=0.000 | 수용여석=0.006 | 외곽성=0.054
대덕초등학교도룡분교장,초,유성구,신성동,60,36.3787207,127.3913403,0.0,0.0,60,3400.216982490957,1024.606904487872,0,,0.0,0.0,0.03318722604884158,0.2739462682914334,0.0,0.053,238,임박도=0.000 | 학생유입=0.000 | 수용여석=0.007 | 외곽성=0.046
갈마중학교,중,서구,갈마1동,63,36.3474707,127.3646118,0.0,0.0,63,3091.967801739668,1572.1467528673825,0,,0.0,0.0,0.03506574827802129,0.2486361048512697,0.0,0.0492,239,임박도=0.000 | 학생유입=0.000 | 수용여석=0.008 | 외곽성=0.041
장동초등학교,초,대덕구,회덕동,38,36.4148625,127.4358274,0.0,0.0,38,2620.699580640166,1579.84974457391,0,,0.0,0.0,0.019411396368190358,0.20994054150504413,0.0,0.0393,240,임박도=0.000 | 학생유입=0.000 | 수용여석=0.004 | 외곽성=0.035
와동초등학교,초,대덕구,회덕동,170,36.3971876,127.4222878,0.05,0.0,170,317.7583044515491,787.399766819692,2,연축주공(9_미정); 신대주공(6_입안),0.009433962264150945,0.0,0.10206637445209768,0.020847354131862457,0.0,0.0293,241,임박도=0.003 | 학생유입=0.000 | 수용여석=0.023 | 외곽성=0.003
회덕중학교,중,대덕구,회덕동,111,36.4009441,127.4256826,0.05,0.0,111,833.297131182662,371.7787118292827,2,연축주공(9_미정); 신대주공(6_입안),0.009433962264150945,0.0,0.06512210394489668,0.06317795151581082,0.2564425763414345,0.0281,242,임박도=0.003 | 학생유입=0.000 | 수용여석=0.014 | 외곽성=0.011
봉암초등학교,초,유성구,온천2동,37,36.3640974,127.3476616,0.0,0.0,37,928.4642517523633,586.181199002124,0,,0.0,0.0,0.01878522229179712,0.07099206920422851,0.0,0.016,243,임박도=0.000 | 학생유입=0.000 | 수용여석=0.004 | 외곽성=0.012
