학교급,설립,구,학교명,주소,구분,학생수합계,lon,lat,동,최근접_사업,최근접_거리m,영향권,_원_도심거리m,_원_학생수,_원_학교밀도,적격성_도심거리,적격성_학교규모,적격성_학교밀도,적격성점수,전체순위,적격성순위,현행운영여부,미운영순위,slope_300m_mean
초,공립,대덕구,대전대화초등학교,대전광역시 대덕구 대화로 242-36. 대전대화초등학교 (대화동),본교,109,127.4112898,36.3625262,대화동,소라,175.06866523884543,1km 이내,2754.3456270834463,109.0,12,0.1721798345017433,0.9361302442078898,0.4,0.4389,191,191,,176.0,9.05150032043457
초,공립,대덕구,대전동도초등학교,대전광역시 대덕구 한남로150번길 27(오정동. 동도초등학교),본교,73,127.4124032,36.3478144,오정동,삼성5,653.7976603183762,1km 이내,2520.0935025906515,73.0,18,0.1558637487026556,0.9586725109580464,0.0999999999999999,0.2885,227,227,,212.0,2.2289366722106934
초,공립,대덕구,대전동산초등학교,대전광역시 대덕구 동산초교로63번길 50. 대전동산초등학교 (오정동),본교,226,127.4214961,36.3505625,오정동,오정동1,112.2817711165668,1km 이내,3319.6062721698804,226.0,15,0.211551264767519,0.862867877269881,0.25,0.361,214,214,,199.0,4.339044094085693
초,공립,대덕구,대전매봉초등학교,대전광역시 대덕구 선비마을로 155(송촌동. 대전매봉초등학교),본교,465,127.4372248,36.3695187,송촌동,법동2,976.9612643626384,1km 이내,5183.894419284399,465.0,8,0.3414023191748325,0.7132122730118973,0.6,0.5451,133,133,,120.0,8.545154571533203
초,공립,대덕구,대전목상초등학교,대전광역시 대덕구 대덕대로1486번길 117(목상동. 대전목상초등학교),본교,161,127.4126245,36.4457981,목상동,덕암동1,753.2518583028506,1km 이내,10878.147957940528,161.0,4,0.738017417115298,0.9035691922354414,0.8,0.8021,20,20,,10.0,3.3344955444335938
초,공립,대덕구,대전법동초등학교,대전광역시 대덕구 계족로664번길 74(법동.대전법동초등학교),본교,289,127.4325902,36.3693345,법2동,법동2,631.799847852061,1km 이내,4798.516920250096,289.0,8,0.3145600766427912,0.823418910457107,0.6,0.5591,115,115,,102.0,3.653498649597168
초,공립,대덕구,대전비래초등학교,대전광역시 대덕구 우암로492번길 65(비래동. 대전비래초등학교),본교,217,127.4512659,36.361626,비래동,비래동2,183.8883500728251,1km 이내,6118.344981953792,217.0,7,0.4064884975330078,0.8685034439574202,0.65,0.6206,83,83,,70.0,6.901233673095703
초,공립,대덕구,대전새여울초등학교,대전광역시 대덕구 대덕대로 1585. 대전새여울초등학교,본교,881,127.4224192,36.4517219,석봉동,덕암동1,539.7005480089683,1km 이내,11741.927826752244,881.0,4,0.7981812533305386,0.4527238572323105,0.8,0.73,37,37,,26.0,1.6919817924499512
초,공립,대덕구,대전석봉초등학교,대전광역시 대덕구 신탄진남로 20. 대전석봉초등학교 (신탄진동. 대전석봉초등학교),본교,84,127.4347803,36.4470316,신탄진동,신탄진동1,333.551369631059,1km 이내,11628.26687410248,84.0,4,0.7902645616059492,0.9517845961177208,0.8,0.8274,17,17,,7.0,6.676281929016113
초,공립,대덕구,대전송촌초등학교,대전광역시 대덕구 동춘당로54번길 35(송촌동. 대전송촌초등학교),본교,531,127.4440778,36.3648913,송촌동,비래동2,777.9606624452204,1km 이내,5581.712799476618,531.0,8,0.3691110916682489,0.6718847839699437,0.6,0.5451,133,133,,120.0,4.523516654968262
초,공립,대덕구,대전양지초등학교,대전광역시 대덕구 쌍청당로 45(법동),본교,178,127.4334862,36.3656527,법2동,중리주공2,859.7746883294967,1km 이내,4709.365957350681,178.0,9,0.3083505502067444,0.8929242329367564,0.55,0.5461,132,132,,119.0,3.349184036254883
초,공립,대덕구,대전중리초등학교,대전광역시 대덕구 중리북로 20(법동),본교,360,127.4272541,36.3675607,법1동,중리주공2,291.6583235655971,1km 이내,4282.119729043378,360.0,10,0.278592074660398,0.7789605510331872,0.5,0.4894,171,171,,156.0,3.4179880619049072
초,공립,대덕구,대전중원초등학교,대전광역시 대덕구 중리로64번길 45(중리동),본교,228,127.4275356,36.3656424,중리동,중리주공2,488.1592911069332,1km 이내,4215.0357635255,228.0,10,0.2739195546587003,0.8616155291170946,0.5,0.5045,159,159,,145.0,3.2381393909454346
초,공립,대덕구,대전화정초등학교,대전광역시 대덕구 한밭대로1024번길 20(오정동. 화정초등학교),본교,152,127.4118971,36.3573291,오정동,소라,619.4644064113331,1km 이내,2575.5137501321738,152.0,13,0.1597238695696574,0.9092047589229806,0.35,0.4048,204,204,,189.0,2.0633904933929443
초,공립,대덕구,새일초등학교,대전광역시 대덕구 덕암로125번길 15(덕암동.새일초등학교),본교,149,127.4195224,36.4317546,덕암동,덕암동1,1697.1872436969152,1.5km 초과,9554.97976923291,149.0,2,0.6458563503146384,0.9110832811521604,0.9,0.826,18,18,,8.0,4.806055068969727
초,공립,대덕구,신탄진용정초등학교,대전광역시 대덕구 대청로 65. 신탄진용정초등학교 (신탄진동),본교,384,127.4358676,36.4540033,신탄진동,신탄진동1,926.0925215879312,1km 이내,12380.600396498354,384.0,3,0.8426659574418213,0.7639323731997495,0.85,0.8306,16,16,Y,,3.877012252807617
초,공립,대덕구,신탄진초등학교,대전광역시 대덕구 석봉로3번길 50(석봉동. 신탄진초등학교),본교,263,127.4223133,36.4494593,석봉동,덕암동1,299.4887910622718,1km 이내,11499.146770178751,263.0,5,0.7812711119261729,0.8396994364433312,0.75,0.7773,25,25,,15.0,2.1846024990081787
초,공립,대덕구,와동초등학교,대전광역시 대덕구 신탄진로 189(신대동. 와동초등학교),본교,170,127.4222878,36.3971876,회덕동,연축주공,202.1660129956176,1km 이내,6198.6179682727225,170.0,1,0.4120796567806114,0.8979336255479023,0.95,0.7782,24,24,,14.0,4.895845413208008
초,공립,대덕구,장동초등학교,대전광역시 대덕구 장동로 223-37(장동. 대전장동초등학교),본교,38,127.4358274,36.4148625,회덕동,신대주공,2100.325921111048,1.5km 초과,8504.093517907317,38.0,0,0.5726602148309776,0.9805886036318096,1.0,0.8679,11,11,Y,,14.288289070129396
초,공립,대덕구,회덕초등학교,대전광역시 대덕구 대전로 1350(읍내동),본교,112,127.4214085,36.374445,회덕동,법동2,546.0121122795081,1km 이내,4251.7577908028,112.0,6,0.2764773105342133,0.93425172197871,0.7,0.6198,85,85,,72.0,3.9834043979644775
초,공립,동구,대전가양초등학교,대전광역시 동구 가양로 61(가양동. 대전가양초등학교),본교,386,127.4405406,36.3421995,가양1동,성남동3,306.909507498922,1km 이내,5110.24097324962,386.0,14,0.3362722229270228,0.7626800250469631,0.3,0.4034,205,205,,190.0,1.7006466388702393
초,공립,동구,대전가오초등학교,대전광역시 동구 신기로 112. 가오초등학교 (가오동),본교,456,127.4584142,36.3109093,효동,판암2,449.1292567244184,1km 이내,7949.504500683802,456.0,8,0.5340320828221731,0.7188478396994364,0.6,0.604,89,89,,76.0,3.766094446182251
초,공립,동구,대전대동초등학교,대전광역시 동구 대동초등3길 21(대동. 대전대동초등학교),본교,232,127.4468997,36.3251324,대동,신흥동5,398.7516110677575,1km 이내,6262.076777230509,232.0,14,0.4164996780457547,0.8591108328115216,0.3,0.4468,187,187,,172.0,5.112439632415772
초,공립,동구,대전대룡초등학교,대전광역시 동구 백룡로 123(용운동. 대전대룡초등학교),본교,267,127.4558657,36.3299141,용운동,대동4·8,857.0330697613985,1km 이내,6795.465219567123,267.0,10,0.4536511515201121,0.8371947401377583,0.5,0.5535,120,120,,107.0,11.337090492248535
초,공립,동구,대전대암초등학교,대전광역시 동구 동부로 55-61(판암동. 대전대암초등학교),본교,91,127.4571693,36.323431,판암2동,판암6,645.0843864298321,1km 이내,7174.898218633385,91.0,10,0.4800793488360373,0.947401377582968,0.5,0.5835,103,103,,90.0,10.106037139892578
초,공립,동구,대전동광초등학교,대전광역시 동구 백룡로11번길 20. 대전동광초등학교 (자양동.대전동광초등학교),본교,112,127.4499,36.3372049,자양동,대동4·8,597.9203099839051,1km 이내,6048.416314888676,112.0,11,0.4016178389034621,0.93425172197871,0.4499999999999999,0.5323,141,141,,128.0,4.396733283996582
초,공립,동구,대전동서초등학교,대전광역시 동구 동서대로 1522(삼성동. 대전동서초등학교),본교,152,127.4225243,36.3410683,삼성동,삼성3,192.5079021320572,1km 이내,3565.5700982219514,152.0,13,0.2286830918449759,0.9092047589229806,0.35,0.4254,199,199,,184.0,0.9927321076393129
초,공립,동구,대전삼성초등학교,대전광역시 동구 대전로867번길 12(삼성동),본교,126,127.4289027,36.3371425,삼성동,삼성동1,196.5513333366006,1km 이내,4247.175411120198,126.0,16,0.2761581394691603,0.9254852849092048,0.1999999999999999,0.3679,211,211,,196.0,1.7872291803359983
초,공립,동구,대전성남초등학교,대전광역시 동구 성남로32번길 5(성남동. 대전성남초등학교),본교,309,127.4295994,36.3439503,성남동,홍도동3,209.82155394259465,1km 이내,4109.564253501538,309.0,13,0.2665732724824495,0.8108954289292423,0.35,0.4172,202,202,,187.0,3.292536973953247
초,공립,동구,대전신흥초등학교,대전광역시 동구 동대전로46번길 76. 대전신흥초등학교 (신흥동. 대전신흥초등학교),본교,1026,127.4399239,36.3256406,신인동,신안1,466.1441426065633,1km 이내,5681.662868751578,1026.0,14,0.3760727954711322,0.3619286161552911,0.3,0.3352,218,218,,203.0,2.706590414047241
초,공립,동구,대전용운초등학교,대전광역시 동구 용운로 204(용운동. 대전용운초등학교),본교,442,127.4637546,36.3262366,용운동,판암6,1311.639023380014,1~1.5km,7600.646976675279,442.0,6,0.5097335228594632,0.7276142767689417,0.7,0.6484,74,74,,61.0,7.224184989929199
초,공립,동구,대전용전초등학교,대전광역시 동구 계족로505번길 49(용전동.대전용전초등학교),본교,534,127.4303126,36.3561565,용전동,송촌동1,985.4838791392298,1km 이내,4159.787724239271,534.0,16,0.2700714284093556,0.6700062617407639,0.1999999999999999,0.315,222,222,,207.0,3.1243715286254883
초,공립,동구,대전은어송초등학교,대전광역시 동구 대전로 396. 대전은어송초등학교 (대성동),본교,836,127.4568136,36.3024663,산내동,옥계동4,340.0724385690749,1km 이내,8390.189693032638,836.0,5,0.5647266066149433,0.4809016906700062,0.75,0.6406,78,78,,65.0,2.1434543132781982
초,공립,동구,대전자양초등학교,대전광역시 동구 계족로 184-55.(대전자양초등학교.자양동),본교,81,127.4428747,36.3335584,자양동,대동4·8,376.99453400652607,1km 이내,5561.497444014216,81.0,12,0.3677030554555666,0.9536631183469004,0.4,0.501,161,161,,147.0,4.88891077041626
초,공립,동구,대전천동초등학교,대전광역시 동구 안샘로 8(천동) 대전천동초등학교,본교,951,127.4451593,36.3161208,효동,신흥동5,659.730185855507,1km 이내,6640.356120411913,951.0,13,0.4428475211346235,0.4088916718847839,0.35,0.3896,208,208,,193.0,5.7232842445373535
초,공립,동구,대전판암초등학교,대전광역시 동구 옥천로180번길 32(판암동),본교,285,127.4605179,36.3159027,판암1동,판암2,284.1661717268438,1km 이내,7822.199253630971,285.0,9,0.5251650412186638,0.8259236067626801,0.55,0.5977,93,93,,80.0,4.198124885559082
초,공립,동구,대전현암초등학교,대전광역시 동구 현암로 19. 대전현암초등학교 (삼성동),본교,113,127.4203907,36.3418691,삼성동,삼성3,153.34667950670976,1km 이내,3356.6884360809163,113.0,14,0.2141341048134666,0.9336255479023168,0.3,0.401,207,207,,192.0,1.0201623439788818
초,공립,동구,대전흥룡초등학교,대전광역시 동구 동대전로256번길 21(가양동. 대전흥룡초등학교),본교,288,127.4480505,36.3451544,가양2동,가양동3,327.0262441270589,1km 이내,5732.013520485098,288.0,8,0.3795798097853156,0.8240450845335003,0.6,0.5787,104,104,,91.0,2.887370347976685
초,공립,동구,동대전초등학교,대전광역시 동구 비래서로62번길 60(가양동. 동대전초등학교),본교,401,127.4492505,36.3519283,가양2동,가양동8,103.06943601776756,1km 이내,5812.303111050636,401.0,7,0.3851721255488435,0.7532874139010645,0.65,0.5912,98,98,,85.0,3.791258573532105
초,공립,동구,동명초등학교,대전광역시 동구 천개동로 16(추동),본교,46,127.4742921,36.3741217,대청동,비래동2,2645.3665461741166,1.5km 초과,8474.419818150454,46.0,0,0.5705933877648084,0.9755792110206636,1.0,0.8663,12,12,Y,,8.243550300598145
초,공립,동구,산내초등학교,대전광역시 동구 산내로 1292(낭월동. 산내초등학교),본교,395,127.4700311,36.2792732,산내동,옥계동2,2416.274967701872,1.5km 초과,11008.817477011362,395.0,0,0.7471187863733209,0.7570444583594239,1.0,0.8755,10,10,Y,,7.669312000274658
초,공립,동구,산흥초등학교,대전광역시 동구 산내로 509(상소동. 산흥초등학교),본교,54,127.4483897,36.228975,산내동,옥계동2,7467.662036045803,1.5km 초과,14639.465309206402,54.0,0,1.0,0.9705698184095178,1.0,0.9941,1,1,Y,,14.364956855773926
초,공립,동구,세천초등학교,대전광역시 동구 옥천로 610-12(세천동.세천초등학교),본교,47,127.4937835,36.3415266,대청동,자양동2,3914.439023324797,1.5km 초과,9855.53666111973,47.0,0,0.6667906835513185,0.9749530369442704,1.0,0.895,7,7,Y,,10.222576141357422
초,공립,중구,대전글꽃초등학교,대전광역시 중구 계룡로918번길 97대전글꽃초등학교 (문화동),본교,770,127.4097377,36.3186639,문화1동,문화동2,142.93505765292383,1km 이내,4185.915409439132,770.0,17,0.2718912691231827,0.5222291797119599,0.15,0.261,233,233,,218.0,1.6043883562088013
초,공립,중구,대전대문초등학교,대전광역시 중구 송리로 11(문화동. 대전대문초등학교),본교,156,127.4004173,36.3068833,문화2동,문화동10,444.4464882900225,1km 이내,5033.884241960613,156.0,9,0.3309538379529405,0.9067000626174077,0.55,0.5556,118,118,,105.0,7.201216220855713
초,공립,중구,대전대신초등학교,대전광역시 중구 솔밭로16번길 17(대사동. 대전대신초등학교),본교,44,127.4208517,36.3156991,대사동,대사동4,183.27642175708428,1km 이내,5045.681084541699,44.0,11,0.3317755094580681,0.9768315591734502,0.4499999999999999,0.5199,149,149,,136.0,15.29282283782959
초,공립,중구,대전대흥초등학교,대전광역시 중구 수도산로 12(대흥동. 대흥초등학교),본교,388,127.4258441,36.3198058,대흥동,대흥2,139.719422748729,1km 이내,5028.251801356982,388.0,14,0.3305615282381574,0.7614276768941766,0.3,0.4015,206,206,,191.0,3.1477038860321045
초,공립,중구,대전동문초등학교,대전광역시 중구 문화로 200(문화동. 대전동문초등학교),본교,186,127.4070326,36.3140992,문화1동,문화동5,166.06918512264411,1km 이내,4505.815799818552,186.0,16,0.2941729121515805,0.8879148403256105,0.1999999999999999,0.3658,212,212,,197.0,3.4382143020629883
초,공립,중구,대전목동초등학교,대전광역시 중구 목중로 19번길. 70 (목동),본교,640,127.4082366,36.3345455,목동,용두동2,538.5691963113004,1km 이내,2762.196363093482,640.0,18,0.1727266525193091,0.6036318096430808,0.0999999999999999,0.2225,239,239,,224.0,4.987293720245361
초,공립,중구,대전목양초등학교,대전광역시 중구 목동로 69(목동. 목양초등학교),본교,602,127.4048004,36.3367275,목동,용두동2,303.0217938446324,1km 이내,2370.3220147615425,602.0,18,0.145431892637453,0.6274264245460238,0.0999999999999999,0.2191,240,240,,225.0,5.875020503997803
초,공립,중구,대전문성초등학교,대전광역시 중구 유등천동로292번길 89-14. 대전문성초등학교 (산성동),본교,108,127.3904473,36.3088516,산성동,산성동3,177.1876986874294,1km 이내,4639.3936140577525,108.0,14,0.3034768494486292,0.936756418284283,0.3,0.4284,196,196,,181.0,1.0171459913253784
초,공립,중구,대전문창초등학교,대전광역시 중구 문창로 55(부사동. 대전문창초등학교),본교,117,127.4338246,36.3173655,부사동,문창동2,231.34129575689548,1km 이내,5746.489360748727,117.0,10,0.3805880783432493,0.9311208515967438,0.5,0.5504,127,127,,114.0,0.6560110449790955
초,공립,중구,대전문화초등학교,대전광역시 중구 문화로78번안길 70(문화동. 대전문화초등학교),본교,200,127.3969643,36.3113812,문화2동,유천동2,177.46542563156916,1km 이내,4470.235063611268,200.0,14,0.2916946492713196,0.8791484032561052,0.3,0.4133,203,203,,188.0,1.4933288097381592
초,공립,중구,대전버드내초등학교,대전광역시 중구 태평로 21. 대전버드내초등학교 (태평동),본교,630,127.3915009,36.3194287,태평2동,삼부4,304.18059498606226,1km 이내,3492.348943442513,630.0,19,0.2235831054680057,0.6098935504070131,0.05,0.2141,241,241,,226.0,0.6029883027076721
초,공립,중구,대전보성초등학교,대전광역시 중구 보문산로141번길 34(문화동. 대전보성초등학교),본교,190,127.3964886,36.3066382,문화2동,산성동1,419.5279417655324,1km 이내,4971.924855614848,190.0,12,0.3266382541952042,0.8854101440200376,0.4,0.4751,175,175,,160.0,6.953676223754883
초,공립,중구,대전보운초등학교,대전광역시 중구 대종로315번길 42(부사동.대전보운초등학교),본교,115,127.4318082,36.3143908,부사동,부사동4,254.5554602723198,1km 이내,5829.266878258429,115.0,8,0.3863536827357308,0.9323731997495304,0.6,0.6024,90,90,,77.0,1.856817483901977
초,공립,중구,대전산성초등학교,대전광역시 중구 대둔산로 332(사정동.산성초등학교),본교,327,127.3854134,36.2990113,산성동,산성동3,1228.215189988466,1~1.5km,5700.6648040631335,327.0,9,0.3773963147671188,0.799624295554164,0.55,0.5481,131,131,,118.0,5.687214374542236
초,공립,중구,대전석교초등학교,대전광역시 중구 대종로204번길 12(석교동.대전석교초등학교),본교,163,127.4462254,36.3086634,석교동,석교동,200.3522427893083,1km 이내,7219.606063542442,163.0,10,0.4831933314093348,0.902316844082655,0.5,0.5754,109,109,,96.0,2.752756357192993
초,공립,중구,대전선화초등학교,대전광역시 중구 선화로 159(선화동. 대전선화초등학교),본교,701,127.4234663,36.3326733,은행선화동,은행1,139.25622992563655,1km 이내,4011.654296501801,701.0,20,0.2597536662037376,0.5654351909830932,0.0,0.191,242,242,,227.0,1.836969494819641
초,공립,중구,대전신평초등학교,대전광역시 중구 유등천동로 478. 대전신평초등학교 (태평동.대전신평초등학교),본교,314,127.3897213,36.3234302,태평2동,태평동7,190.7501830455016,1km 이내,3027.9925444872747,314.0,17,0.1912398391556351,0.8077645585472761,0.15,0.2939,224,224,,209.0,1.3191107511520386
초,공립,중구,대전오류초등학교,대전광역시 중구 오류로 46(오류동),본교,249,127.4047562,36.324966,오류동,오류동1,171.37514905541116,1km 이내,3356.1106324145744,249.0,20,0.2140938597389962,0.8484658735128365,0.0,0.2339,238,238,,223.0,1.4871073961257937
초,공립,중구,대전옥계초등학교,대전광역시 중구 모암로 35. 대전옥계초등학교 (옥계동. 대전옥계초등학교),본교,109,127.4483618,36.3009946,석교동,옥계동3,204.9831183949042,1km 이내,7930.10943524632,109.0,5,0.5326811812991151,0.9361302442078898,0.75,0.722,38,38,,27.0,11.453524589538574
초,공립,중구,대전원평초등학교,대전광역시 중구 계백로1615번길 46. 대전원평초등학교 (유천동),본교,257,127.3999032,36.3216702,유천2동,태평동3,233.49616149064,1km 이내,3473.638765276056,257.0,19,0.2222799075869144,0.8434564809016907,0.05,0.2604,234,234,,219.0,0.8390199542045593
초,공립,중구,대전유평초등학교,대전광역시 중구 수침로 123(태평동),본교,215,127.3974668,36.3300035,태평1동,태평동5,201.2800949800895,1km 이내,2544.1090763576794,215.0,18,0.157536477020256,0.8697557921102066,0.0999999999999999,0.2712,231,231,,216.0,1.6955091953277588
초,공립,중구,대전중앙초등학교,대전광역시 중구 선화로43번길 99(선화동. 대전중앙초등학교),본교,1082,127.4141355,36.3307172,은행선화동,용두동3,377.75393100834464,1km 이내,3440.812490267986,1082.0,19,0.2199934979304138,0.3268628678772699,0.05,0.1564,243,243,,228.0,4.516447067260742
초,공립,중구,대전중촌초등학교,대전광역시 중구 대종로 684(중촌동.대전중촌초등학교),본교,262,127.41106,36.3412467,중촌동,중촌시영,181.46150302766256,1km 이내,2590.546055143652,262.0,18,0.1607708969076438,0.8403256105197245,0.0999999999999999,0.2663,232,232,,217.0,1.9919159412384035
초,공립,중구,대전태평초등학교,대전광역시 중구 유천로 117(태평동. 대전태평초등학교),본교,415,127.3950265,36.3229254,태평2동,태평동6,163.23314082106086,1km 이내,3190.5704480469235,415.0,18,0.202563685328892,0.7445209768315592,0.0999999999999999,0.2597,235,235,,220.0,0.7610064148902893
초,공립,중구,산서초등학교,대전광역시 중구 남달미로 87(목달동. 산서초등학교),본교,57,127.4093374,36.2668849,산성동,문화동10,4538.284394431767,1.5km 초과,9528.11554217957,57.0,0,0.6439852081233881,0.968691296180338,1.0,0.8869,8,8,Y,,6.093221187591553
초,공립,중구,서대전초등학교,대전광역시 중구 선화로 17(용두동.서대전초등학교),본교,214,127.41044,36.3259585,용두동,용두동3,263.48137150103787,1km 이내,3573.37471239946,214.0,18,0.2292266973931635,0.8703819661865999,0.0999999999999999,0.2928,225,225,,210.0,3.3628742694854736
초,사립,중구,대전성모초등학교,대전광역시 중구 대흥로 62(대흥동. 대전성모초등학교),본교,658,127.4193093,36.32246,대흥동,대흥동1,603.2185064199789,1km 이내,4400.385031959023,658.0,14,0.2868294677410575,0.5923606762680025,0.3,0.3545,216,216,,201.0,3.697547912597656
초,공립,서구,가수원초등학교,대전광역시 서구 벌곡로 1359(가수원동. 가수원초등학교),본교,258,127.3533137,36.3031409,가수원동,정림동1,1420.092316098372,1~1.5km,5942.541483147096,258.0,10,0.3942434646372738,0.8428303068252975,0.5,0.5368,139,139,,126.0,2.801133871078491
초,공립,서구,기성초등학교,대전광역시 서구 기성초교길 42(매노동),본교,33,127.3380289,36.2487568,기성동,정림동1,7077.843471450976,1.5km 초과,12021.612286114168,33.0,0,0.8176617837440886,0.9837194740137758,1.0,0.942,4,4,Y,,8.7347412109375
