학교명,학교급,구,학생수합계,공구,공구_구간,거리m,공사착공,공사준공,공사기간개월,특이공정
대전정림중학교,중,서구,138,9,어린이재활병원~가수원교,279.7,2025-07-14,2028-06-12,35,"본선, 지선 연결선, 관저 주박기지"
대전정림중학교,중,서구,138,10,가수원교~도마삼거리,119.6,2025-03-07,2028-09-02,42,지하화 1개소(불티고개)
대전대신중학교,중,서구,438,10,가수원교~도마삼거리,284.1,2025-03-07,2028-09-02,42,지하화 1개소(불티고개)
대전삼육중학교,중,서구,163,10,가수원교~도마삼거리,396.0,2025-03-07,2028-09-02,42,지하화 1개소(불티고개)
동방여자중학교,중,서구,297,10,가수원교~도마삼거리,135.9,2025-03-07,2028-09-02,42,지하화 1개소(불티고개)
대전봉명중학교,중,유성구,642,7,다솔아파트~대전시립박물관,177.9,2024-12-27,2027-08-26,32,교량 개축(온천교)
대전어은중학교,중,유성구,505,6,국립중앙과학관~다솔아파트,193.7,2025-05-20,2028-05-18,36,대학로 통과
대전어은중학교,중,유성구,505,7,다솔아파트~대전시립박물관,255.6,2024-12-27,2027-08-26,32,교량 개축(온천교)
대전원신흥중학교,중,유성구,1010,7,다솔아파트~대전시립박물관,65.9,2024-12-27,2027-08-26,32,교량 개축(온천교)
대전장대중학교,중,유성구,230,7,다솔아파트~대전시립박물관,335.9,2024-12-27,2027-08-26,32,교량 개축(온천교)
대전체육중학교,중,유성구,135,7,다솔아파트~대전시립박물관,191.6,2024-12-27,2027-08-26,32,교량 개축(온천교)
