사업명,구분,구,동,추진현황,통학영향_임박도,세대수,예상_초등생,예상_중등생,1km_학교수,1km_학생수,1.5km_학교수,1.5km_학생수
석교동,재개발_생활권,중구,석교동,입안제안,6_입안,2550.0,459.0,204.0,1,163,1,163
유천동2(중복),재개발_생활권,중구,유천동,입안제안,6_입안,1602.0,288.0,128.0,0,0,0,0
변동B,재개발_생활권,서구,도마동,입안제안,6_입안,1286.0,231.0,103.0,1,284,1,284
용문동4,재개발_생활권,서구,용문동,입안제안,6_입안,1555.0,280.0,124.0,0,0,3,2308
가장동1,재개발_생활권,서구,가장동,입안제안,6_입안,2405.0,433.0,192.0,1,493,1,493
도마동1,재개발_생활권,서구,도마동,입안제안,6_입안,1031.0,186.0,82.0,1,451,1,451
송촌동1,재개발_생활권,대덕구,송촌동,입안제안,6_입안,1555.0,280.0,124.0,1,534,1,534
신탄진동1,재개발_생활권,대덕구,신탄진동,입안제안,6_입안,1144.0,206.0,92.0,2,468,2,468
비래동1,재개발_생활권,대덕구,비래동,입안제안,6_입안,796.0,143.0,64.0,0,0,0,0
비래동2,재개발_생활권,대덕구,비래동,입안제안,6_입안,1245.0,224.0,100.0,3,1487,3,1487
비래동3,재개발_생활권,대덕구,비래동,입안제안,6_입안,1231.0,222.0,98.0,0,0,0,0
가양동5,재건축,동구,가양동,사업시행인가,3_사업시행,1028.0,185.0,82.0,0,0,0,0
가양동7,재건축,동구,가양동,착공,1_공사중,224.0,40.0,18.0,0,0,0,0
가오동1,재건축,동구,가오동,사업시행인가,3_사업시행,700.0,126.0,56.0,1,531,1,531
가오동2,재건축,동구,천동,착공,1_공사중,952.0,171.0,76.0,0,0,0,0
삼성동1,재건축,동구,삼성동,사업시행인가,3_사업시행,722.0,130.0,58.0,1,126,1,126
홍도동2,재건축,동구,홍도동,사업시행인가,3_사업시행,461.0,83.0,37.0,0,0,0,0
문화동2,재건축,중구,문화동,,9_미정,,,,2,1660,2,1660
문화동6,재건축,중구,문화동,구역지정,5_초기,502.0,90.0,40.0,0,0,0,0
태평동3,재건축,중구,태평동,입안제안,6_입안,702.0,126.0,56.0,1,257,1,257
태평동5,재건축,중구,태평동,관리처분인가,2_관리처분,2267.0,408.0,181.0,2,747,2,747
태평동6,재건축,중구,태평동,,9_미정,,,,1,415,1,415
태평동7,재건축,중구,태평동,,9_미정,,,,1,314,1,314
태평동8,재건축,중구,태평동,,9_미정,,,,0,0,0,0
삼부4,재건축,중구,태평동,,9_미정,,,,1,630,1,630
오류동삼성,재건축,중구,오류동,,9_미정,,,,0,0,0,0
중촌시영,재건축,중구,중촌동,,9_미정,,,,1,262,2,354
용문동1·2·3,재건축,서구,용문동,착공,1_공사중,2763.0,497.0,221.0,2,1095,2,1095
도룡동2,재건축,유성구,도룡동,구역지정,5_초기,263.0,47.0,21.0,2,1170,3,1230
법동2,재건축,대덕구,법동,사업시행인가,3_사업시행,666.0,120.0,53.0,4,1522,4,1522
연축주공,재건축,대덕구,연축동,,9_미정,,,,1,170,1,170
신대주공,재건축,대덕구,신대동,입안제안,6_입안,,,,1,111,3,1734
중리주공2,재건축,대덕구,법동,,9_미정,,,,5,1245,5,1245
소라,재건축,대덕구,대화동,,9_미정,,,,3,466,4,1681
