Id,school_raw,school_short,purpose,차수,n_samples,length_m,sinuosity,slope_mean,slope_max,slope_pct_over_5deg,slope_pct_over_10deg,elevation_gain_m,dem_min_m,dem_max_m
1,동명초등학교,동명초,등교,1,177,1760.1868841357757,1.2076812377312662,2.0290188789367676,17.462575912475586,6.214689265536723,2.824858757062147,19.8021240234375,66.88594818115234,79.09754180908203
2,동명초등학교,동명초,등교,1,33,323.0711532869448,1.7443304034388956,3.230545997619629,10.50418758392334,24.242424242424242,6.0606060606060606,13.965347290039062,69.5592041015625,83.52455139160156
3,동명초등학교,동명초,등교,1,174,1736.2799255397474,1.562457655979377,3.9070448875427246,20.68012237548828,25.287356321839084,5.747126436781609,36.52571105957031,73.69189453125,103.10611724853516
4,동명초등학교,동명초,등교,1,33,324.84779477908796,1.0027016853547313,10.804097175598145,18.781734466552734,78.78787878787878,69.6969696969697,7.710365295410156,90.7255859375,97.28032684326172
5,동명초등학교,동명초,등교,1,496,4958.426598741676,2.2243518105665814,7.626887321472168,42.561378479003906,37.70161290322581,22.177419354838708,278.74267578125,95.87995910644531,257.6355895996094
6,동명초등학교,동명초,등교,1,131,1307.6863518343334,1.4029327848536726,8.13506031036377,18.513721466064453,77.09923664122137,30.53435114503817,10.7811279296875,81.97020721435547,156.76365661621094
7,동명초등학교,동명초,등교,1,66,659.5522363567895,1.3052652957342903,5.2320475578308105,9.036237716674805,60.60606060606061,0.0,8.528221130371094,80.27405548095703,84.18335723876953
8,동명초등학교,동명초,등교,1,184,1835.9526810490647,1.1698405103656935,6.603903293609619,14.355757713317871,63.04347826086957,19.565217391304348,48.328086853027344,80.09139251708984,114.71151733398438
1,동명초등학교,동명초,하교,1,184,1835.290449972005,1.169418547017093,6.721201419830322,14.880324363708496,62.5,21.73913043478261,41.556243896484375,79.92253112792969,115.00555419921875
2,동명초등학교,동명초,하교,1,67,663.1207188399346,1.3073141439248404,5.071531772613525,9.036237716674805,58.2089552238806,0.0,7.4933319091796875,80.27405548095703,84.18335723876953
3,동명초등학교,동명초,하교,1,122,1218.2991686327937,1.3639352632346171,8.290800094604492,17.294496536254883,78.68852459016394,30.327868852459016,75.78353881835938,81.86416625976562,156.76365661621094
4,동명초등학교,동명초,하교,1,501,5003.461225545099,2.204371886118898,7.817555904388428,38.207550048828125,42.51497005988024,24.550898203592812,221.11264038085938,95.87995910644531,254.8623504638672
5,동명초등학교,동명초,하교,1,32,313.23969511503566,1.000910728846876,11.16989517211914,17.868980407714844,81.25,71.875,1.4868698120117188,90.84813690185547,96.78047180175781
6,동명초등학교,동명초,하교,1,175,1747.6754554146237,1.556474566332415,3.8657212257385254,20.68012237548828,22.857142857142858,5.714285714285714,29.255348205566406,73.69189453125,103.16474151611328
7,동명초등학교,동명초,하교,1,211,2102.136774558669,1.2992832270294918,2.254037857055664,17.462575912475586,10.90047393364929,3.3175355450236967,21.472457885742188,66.884033203125,83.52455139160156
1,산내초등학교,산내초,등교,1,693,6920.628109311694,1.3217584531199158,7.189876556396484,31.365671157836914,54.40115440115441,32.03463203463203,229.0802001953125,73.1443862915039,224.70077514648438
2,산내초등학교,산내초,등교,1,92,916.0315594783256,1.2738510570722041,1.0811090469360352,11.202820777893066,6.521739130434782,1.0869565217391304,6.231025695800781,73.18974304199219,77.77442169189453
3,산내초등학교,산내초,등교,1,552,5515.040234296105,1.295554694783468,8.638896942138672,28.959331512451172,66.84782608695652,39.492753623188406,94.89708709716797,77.43701934814453,224.9735565185547
4,산내초등학교,산내초,등교,1,583,5824.84193760871,1.3057973923100845,1.8938779830932617,12.242182731628418,7.547169811320755,1.7152658662092626,63.94512176513672,75.4335708618164,111.30696868896484
5,산내초등학교,산내초,등교,1,310,3096.443679523189,1.1804722160609784,5.540984153747559,14.67591667175293,45.806451612903224,24.193548387096776,16.355995178222656,88.28640747070312,107.14407348632812
1,산내초등학교,산내초,하교,1,748,7473.975649754619,1.875237252263965,6.749814510345459,29.365440368652344,49.73262032085562,29.411764705882355,228.4298553466797,73.18974304199219,224.78790283203125
2,산내초등학교,산내초,하교,1,692,6916.3798622166805,1.3209470879634466,7.217410087585449,28.959331512451172,55.202312138728324,32.080924855491325,109.2905044555664,73.10137939453125,224.9735565185547
1,산서초등학교,산서초,등교,1,904,9036.143702271225,1.515429085057599,9.295638084411621,29.810544967651367,77.7654867256637,40.04424778761062,245.91598510742188,76.43573760986328,220.69271850585938
2,산서초등학교,산서초,등교,1,904,9035.14247973618,1.5152611725276288,9.406305313110352,29.32733917236328,77.87610619469027,42.256637168141594,117.27719116210938,76.6697769165039,220.69271850585938
3,산서초등학교,산서초,등교,2,212,2113.0535356858186,1.8399816651604854,5.955907821655273,15.471595764160156,59.43396226415094,15.566037735849056,28.738250732421875,68.06315612792969,90.28179931640625
4,산서초등학교,산서초,등교,2,387,3866.5470578119307,1.3796950977438645,7.681732654571533,23.43798828125,61.240310077519375,29.198966408268735,74.8797378540039,59.477725982666016,114.2032470703125
5,산서초등학교,산서초,등교,2,446,4459.979042851151,1.1703779380381716,7.850202560424805,23.82240104675293,66.81614349775785,30.493273542600896,107.71031188964844,61.24578857421875,114.1742172241211
1,산서초등학교,산서초,하교,1,445,4448.158431334973,1.1542259164260869,7.747635364532471,23.82240104675293,65.61797752808988,30.112359550561795,78.74050903320312,59.900550842285156,114.40348815917969
2,산서초등학교,산서초,하교,1,452,4510.360759821665,1.170366425067961,7.659183979034424,23.82240104675293,65.7079646017699,29.646017699115045,109.20500183105469,59.48347473144531,114.40348815917969
3,산서초등학교,산서초,하교,2,445,4448.158431334973,1.1542259164260869,7.747635364532471,23.82240104675293,65.61797752808988,30.112359550561795,78.74050903320312,59.900550842285156,114.40348815917969
4,산서초등학교,산서초,하교,2,452,4510.360759821665,1.170366425067961,7.659183979034424,23.82240104675293,65.7079646017699,29.646017699115045,109.20500183105469,59.48347473144531,114.40348815917969
5,산서초등학교,산서초,하교,3,445,4448.158431334973,1.1542259164260869,7.747635364532471,23.82240104675293,65.61797752808988,30.112359550561795,78.74050903320312,59.900550842285156,114.40348815917969
1,산흥초등학교,산흥초,등교,1,133,1320.1615269176186,1.1765685327851239,1.3099379539489746,3.1571831703186035,0.0,0.0,3.6596221923828125,68.65567779541016,76.0289077758789
2,산흥초등학교,산흥초,등교,1,79,784.6160891496605,1.5460857569475184,1.441057562828064,3.018286943435669,0.0,0.0,6.369140625,70.91529846191406,76.46205139160156
