학교급,설립,구,학교명,주소,구분,학생수합계
초,공립,대덕구,대전대화초등학교,대전광역시 대덕구 대화로 242-36. 대전대화초등학교 (대화동),본교,109
초,공립,대덕구,대전동도초등학교,대전광역시 대덕구 한남로150번길 27(오정동. 동도초등학교),본교,73
초,공립,대덕구,대전동산초등학교,대전광역시 대덕구 동산초교로63번길 50. 대전동산초등학교 (오정동),본교,226
초,공립,대덕구,대전매봉초등학교,대전광역시 대덕구 선비마을로 155(송촌동. 대전매봉초등학교),본교,465
초,공립,대덕구,대전목상초등학교,대전광역시 대덕구 대덕대로1486번길 117(목상동. 대전목상초등학교),본교,161
초,공립,대덕구,대전법동초등학교,대전광역시 대덕구 계족로664번길 74(법동.대전법동초등학교),본교,289
초,공립,대덕구,대전비래초등학교,대전광역시 대덕구 우암로492번길 65(비래동. 대전비래초등학교),본교,217
초,공립,대덕구,대전새여울초등학교,대전광역시 대덕구 대덕대로 1585. 대전새여울초등학교,본교,881
초,공립,대덕구,대전석봉초등학교,대전광역시 대덕구 신탄진남로 20. 대전석봉초등학교 (신탄진동. 대전석봉초등학교),본교,84
초,공립,대덕구,대전송촌초등학교,대전광역시 대덕구 동춘당로54번길 35(송촌동. 대전송촌초등학교),본교,531
초,공립,대덕구,대전양지초등학교,대전광역시 대덕구 쌍청당로 45(법동),본교,178
초,공립,대덕구,대전중리초등학교,대전광역시 대덕구 중리북로 20(법동),본교,360
초,공립,대덕구,대전중원초등학교,대전광역시 대덕구 중리로64번길 45(중리동),본교,228
초,공립,대덕구,대전화정초등학교,대전광역시 대덕구 한밭대로1024번길 20(오정동. 화정초등학교),본교,152
초,공립,대덕구,새일초등학교,대전광역시 대덕구 덕암로125번길 15(덕암동.새일초등학교),본교,149
초,공립,대덕구,신탄진용정초등학교,대전광역시 대덕구 대청로 65. 신탄진용정초등학교 (신탄진동),본교,384
초,공립,대덕구,신탄진초등학교,대전광역시 대덕구 석봉로3번길 50(석봉동. 신탄진초등학교),본교,263
초,공립,대덕구,와동초등학교,대전광역시 대덕구 신탄진로 189(신대동. 와동초등학교),본교,170
초,공립,대덕구,장동초등학교,대전광역시 대덕구 장동로 223-37(장동. 대전장동초등학교),본교,38
초,공립,대덕구,회덕초등학교,대전광역시 대덕구 대전로 1350(읍내동),본교,112
초,공립,동구,대전가양초등학교,대전광역시 동구 가양로 61(가양동. 대전가양초등학교),본교,386
초,공립,동구,대전가오초등학교,대전광역시 동구 신기로 112. 가오초등학교 (가오동),본교,456
초,공립,동구,대전대동초등학교,대전광역시 동구 대동초등3길 21(대동. 대전대동초등학교),본교,232
초,공립,동구,대전대룡초등학교,대전광역시 동구 백룡로 123(용운동. 대전대룡초등학교),본교,267
초,공립,동구,대전대암초등학교,대전광역시 동구 동부로 55-61(판암동. 대전대암초등학교),본교,91
초,공립,동구,대전동광초등학교,대전광역시 동구 백룡로11번길 20. 대전동광초등학교 (자양동.대전동광초등학교),본교,112
초,공립,동구,대전동서초등학교,대전광역시 동구 동서대로 1522(삼성동. 대전동서초등학교),본교,152
초,공립,동구,대전삼성초등학교,대전광역시 동구 대전로867번길 12(삼성동),본교,126
초,공립,동구,대전성남초등학교,대전광역시 동구 성남로32번길 5(성남동. 대전성남초등학교),본교,309
초,공립,동구,대전신흥초등학교,대전광역시 동구 동대전로46번길 76. 대전신흥초등학교 (신흥동. 대전신흥초등학교),본교,1026
초,공립,동구,대전용운초등학교,대전광역시 동구 용운로 204(용운동. 대전용운초등학교),본교,442
초,공립,동구,대전용전초등학교,대전광역시 동구 계족로505번길 49(용전동.대전용전초등학교),본교,534
초,공립,동구,대전은어송초등학교,대전광역시 동구 대전로 396. 대전은어송초등학교 (대성동),본교,836
초,공립,동구,대전자양초등학교,대전광역시 동구 계족로 184-55.(대전자양초등학교.자양동),본교,81
초,공립,동구,대전천동초등학교,대전광역시 동구 안샘로 8(천동) 대전천동초등학교,본교,951
초,공립,동구,대전판암초등학교,대전광역시 동구 옥천로180번길 32(판암동),본교,285
초,공립,동구,대전현암초등학교,대전광역시 동구 현암로 19. 대전현암초등학교 (삼성동),본교,113
초,공립,동구,대전흥룡초등학교,대전광역시 동구 동대전로256번길 21(가양동. 대전흥룡초등학교),본교,288
초,공립,동구,동대전초등학교,대전광역시 동구 비래서로62번길 60(가양동. 동대전초등학교),본교,401
초,공립,동구,동명초등학교,대전광역시 동구 천개동로 16(추동),본교,46
초,공립,동구,산내초등학교,대전광역시 동구 산내로 1292(낭월동. 산내초등학교),본교,395
초,공립,동구,산흥초등학교,대전광역시 동구 산내로 509(상소동. 산흥초등학교),본교,54
초,공립,동구,세천초등학교,대전광역시 동구 옥천로 610-12(세천동.세천초등학교),본교,47
초,공립,중구,대전글꽃초등학교,대전광역시 중구 계룡로918번길 97대전글꽃초등학교 (문화동),본교,770
초,공립,중구,대전대문초등학교,대전광역시 중구 송리로 11(문화동. 대전대문초등학교),본교,156
초,공립,중구,대전대신초등학교,대전광역시 중구 솔밭로16번길 17(대사동. 대전대신초등학교),본교,44
초,공립,중구,대전대흥초등학교,대전광역시 중구 수도산로 12(대흥동. 대흥초등학교),본교,388
초,공립,중구,대전동문초등학교,대전광역시 중구 문화로 200(문화동. 대전동문초등학교),본교,186
초,공립,중구,대전목동초등학교,대전광역시 중구 목중로 19번길. 70 (목동),본교,640
초,공립,중구,대전목양초등학교,대전광역시 중구 목동로 69(목동. 목양초등학교),본교,602
초,공립,중구,대전문성초등학교,대전광역시 중구 유등천동로292번길 89-14. 대전문성초등학교 (산성동),본교,108
초,공립,중구,대전문창초등학교,대전광역시 중구 문창로 55(부사동. 대전문창초등학교),본교,117
초,공립,중구,대전문화초등학교,대전광역시 중구 문화로78번안길 70(문화동. 대전문화초등학교),본교,200
초,공립,중구,대전버드내초등학교,대전광역시 중구 태평로 21. 대전버드내초등학교 (태평동),본교,630
초,공립,중구,대전보성초등학교,대전광역시 중구 보문산로141번길 34(문화동. 대전보성초등학교),본교,190
초,공립,중구,대전보운초등학교,대전광역시 중구 대종로315번길 42(부사동.대전보운초등학교),본교,115
초,공립,중구,대전산성초등학교,대전광역시 중구 대둔산로 332(사정동.산성초등학교),본교,327
초,공립,중구,대전석교초등학교,대전광역시 중구 대종로204번길 12(석교동.대전석교초등학교),본교,163
초,공립,중구,대전선화초등학교,대전광역시 중구 선화로 159(선화동. 대전선화초등학교),본교,701
초,공립,중구,대전신평초등학교,대전광역시 중구 유등천동로 478. 대전신평초등학교 (태평동.대전신평초등학교),본교,314
초,공립,중구,대전오류초등학교,대전광역시 중구 오류로 46(오류동),본교,249
초,공립,중구,대전옥계초등학교,대전광역시 중구 모암로 35. 대전옥계초등학교 (옥계동. 대전옥계초등학교),본교,109
초,공립,중구,대전원평초등학교,대전광역시 중구 계백로1615번길 46. 대전원평초등학교 (유천동),본교,257
초,공립,중구,대전유평초등학교,대전광역시 중구 수침로 123(태평동),본교,215
초,공립,중구,대전중앙초등학교,대전광역시 중구 선화로43번길 99(선화동. 대전중앙초등학교),본교,1082
초,공립,중구,대전중촌초등학교,대전광역시 중구 대종로 684(중촌동.대전중촌초등학교),본교,262
초,공립,중구,대전태평초등학교,대전광역시 중구 유천로 117(태평동. 대전태평초등학교),본교,415
초,공립,중구,산서초등학교,대전광역시 중구 남달미로 87(목달동. 산서초등학교),본교,57
초,공립,중구,서대전초등학교,대전광역시 중구 선화로 17(용두동.서대전초등학교),본교,214
초,사립,중구,대전성모초등학교,대전광역시 중구 대흥로 62(대흥동. 대전성모초등학교),본교,658
초,공립,서구,가수원초등학교,대전광역시 서구 벌곡로 1359(가수원동. 가수원초등학교),본교,258
초,공립,서구,기성초등학교,대전광역시 서구 기성초교길 42(매노동),본교,33
초,공립,서구,기성초등학교길헌분교장,대전광역시 서구 당고개길 48(평촌동. 기성초등학교 길헌분교장),분교장,7
초,공립,서구,대전가장초등학교,대전광역시 서구 가장로 150(가장동. 대전가장초등학교),본교,493
초,공립,서구,대전갈마초등학교,대전광역시 서구 월평동로 2(갈마동. 갈마초등학교),본교,233
초,공립,서구,대전갑천초등학교,대전광역시 서구 월평동로 61(월평동. 대전갑천초등학교),본교,426
초,공립,서구,대전관저초등학교,대전광역시 서구 관저동로 161(관저동. 관저초등학교),본교,331
초,공립,서구,대전구봉초등학교,대전광역시 서구 관저로 75대전구봉초등학교,본교,586
초,공립,서구,대전금동초등학교,대전광역시 서구 관저로 45(관저동.대전금동초등학교),본교,672
초,공립,서구,대전내동초등학교,대전광역시 서구 동서대로1063번길 13(내동.내동초등학교),본교,705
초,공립,서구,대전느리울초등학교,대전광역시 서구 관저로 196(관저동. 대전느리울초등학교),본교,591
초,공립,서구,대전도마초등학교,대전광역시 서구 배재로172번길 23(도마동.도마초등학교),본교,451
초,공립,서구,대전도솔초등학교,대전광역시 서구 원도안로 80. 대전도솔초등학교 (도안동),본교,1141
초,공립,서구,대전도안초등학교,대전광역시 서구 원도안로 200(도안동. 도안초등학교),본교,934
초,공립,서구,대전둔산초등학교,대전광역시 서구 둔산로74번길 20(둔산동.둔산초등학교),본교,407
초,공립,서구,대전둔원초등학교,대전광역시 서구 대덕대로 112-10(갈마동),본교,540
초,공립,서구,대전둔천초등학교,대전광역시 서구 만년로 3. 대전둔천초등학교 (만년동),본교,194
초,공립,서구,대전만년초등학교,대전광역시 서구 만년남로 14(만년동. 만년초등학교),본교,159
초,공립,서구,대전문정초등학교,대전광역시 서구 문정로 180. 문정초등학교 (둔산동),본교,460
초,공립,서구,대전백운초등학교,대전광역시 서구 계룡로576번길 56(괴정동. 대전백운초등학교),본교,664
초,공립,서구,대전변동초등학교,대전광역시 서구 유등로 373(변동) 대전변동초등학교,본교,152
초,공립,서구,대전복수초등학교,대전광역시 서구 복수중로34번길 29(복수동.대전복수초등학교),본교,702
초,공립,서구,대전봉산초등학교,대전광역시 서구 신갈마로141번길 45. 대전봉산초등학교 (갈마동),본교,368
초,공립,서구,대전삼천초등학교,대전광역시 서구 둔산북로 232-33. 대전삼천초등학교 (둔산동),본교,631
초,공립,서구,대전샘머리초등학교,대전광역시 서구 유등로 879(둔산동),본교,700
초,공립,서구,대전서부초등학교,대전광역시 서구 동서대로 968(변동),본교,404
초,공립,서구,대전서원초등학교,대전광역시 서구 문정로 279(둔산동. 서원초등학교),본교,585
초,공립,서구,대전선암초등학교,대전광역시 서구 관저중로 61(관저동),본교,401
초,공립,서구,대전선유초등학교,대전광역시 서구 관저남로 60(관저동),본교,835
초,공립,서구,대전성룡초등학교,대전광역시 서구 갈마역로 125(월평동. 성룡초등학교),본교,854
초,공립,서구,대전성천초등학교,대전광역시 서구 갈마역로 139(월평동. 성천초등학교),본교,29
초,공립,서구,대전수미초등학교,대전광역시 서구 괴곡길 42(괴곡동. 대전수미초등학교),본교,61
초,공립,서구,대전신계초등학교,대전광역시 서구 복수동로 26(복수동. 신계초등학교),본교,617
초,공립,서구,대전원앙초등학교,대전광역시 서구 관저북로 97. 대전원앙초등학교 (관저동),본교,224
초,공립,서구,대전월평초등학교,대전광역시 서구 월평서로 22(월평동.월평초등학교),본교,110
초,공립,서구,대전유천초등학교,대전광역시 서구 제비네6길 69(도마동),본교,485
초,공립,서구,대전정림초등학교,대전광역시 서구 정림로 32(정림동)대전정림초등학교,본교,444
초,공립,서구,대전탄방초등학교,대전광역시 서구 탄방로 15(탄방동. 대전탄방초등학교),본교,602
초,공립,서구,대전탄방초등학교용문분교장,대전광역시 서구 도솔로 500,분교장,493
초,공립,서구,대전호수초등학교,대전광역시 서구 도안동로 182-20(도안동),본교,897
초,공립,서구,한밭초등학교,대전광역시 서구 문정로 221(둔산동),본교,1604
초,사립,서구,대전삼육초등학교,대전광역시 서구 도림1길 15. 대전삼육초등학교 (도마동),본교,511
초,공립,유성구,구즉초등학교,대전광역시 유성구 구룡달전로 34(봉산동),본교,418
