school_short,route_n,route_total_length_m,route_avg_slope,route_max_slope,route_pct_steep_10deg,route_pct_steep_5deg,route_avg_sinuosity,asymmetry_deg
산서초,10,50876.062632004556,8.231026042723782,29.810544967651367,33.31021987336191,69.48389203726836,1.3224155557941932,0.32570247650146467
기성초 및 길헌분교,26,78446.0087519639,6.25746530387903,38.92793273925781,20.266291484965116,36.05695450797627,1.5084877209682124,0.2697119896228495
산내초,7,36663.341032189324,6.190047987202028,31.365671157836914,26.378157248515617,46.10685775364838,1.3676597362248661,-2.1146633625030518
동명초,15,25789.227113801582,6.159408090264497,42.561378479003906,18.012378641262437,41.953809106478445,1.4347513164352492,-0.5097448144640238
구즉초,5,29961.734777765778,5.637268543243408,18.746036529541016,13.455149501661129,50.498338870431894,1.2864110029245774,0.0
신탄진용정초,11,34592.1594539469,5.514540695487601,24.565656661987305,20.76090285996374,37.384790388517224,1.3530945950112876,-1.0095030983289086
진잠초,9,36257.48281069615,4.324529193867247,26.773183822631836,9.670066942188111,28.403504137627017,2.2662650599452707,-0.20771988630294835
남선초,26,70495.6696733039,4.185933654077962,28.680042266845703,7.857167771182917,30.03676913903248,1.7435212858082458,-0.6587249083178386
세천초,32,70586.35686796348,3.8121056570386993,23.70244026184082,8.33646814911319,23.960847968222343,1.5103593318463227,0.11463874578475952
산흥초,22,32608.772342760847,3.679788465543912,45.6645622253418,8.330533361153957,16.474256470212396,1.203734424173796,-0.028534900058399426
계산초,12,31924.032672961228,2.3441441059112558,22.47852897644043,3.3707865168539324,8.61423220973783,2.3128062941282863,0.0
대전원신흥초 복용분교장,4,15039.668866436776,1.5484795949475414,16.505704879760742,1.8603656804010353,5.448579143339992,1.568407161295205,-0.07788205146789551
