학교급,설립,구,학교명,주소,구분,학생수합계,lon,lat,동,slope_point,slope_300m_mean,slope_300m_max,운영상태,도심거리_km,학교밀도_2km,y_운영12
초,공립,동구,대전삼성초등학교,대전광역시 동구 대전로867번길 12(삼성동),본교,126,127.4289027,36.3371425,삼성동,0.6968416571617126,1.7872291803359983,19.97420883178711,미운영,4.247175411120198,16,0
초,공립,동구,대전성남초등학교,대전광역시 동구 성남로32번길 5(성남동. 대전성남초등학교),본교,309,127.4295994,36.3439503,성남동,1.3717830181121826,3.292536973953247,23.62359046936035,미운영,4.109564253501538,13,0
초,공립,동구,대전신흥초등학교,대전광역시 동구 동대전로46번길 76. 대전신흥초등학교 (신흥동. 대전신흥초등학교),본교,1026,127.4399239,36.3256406,신인동,0.9372647404670716,2.706590414047241,30.38604164123535,미운영,5.6816628687515776,14,0
초,공립,동구,대전용운초등학교,대전광역시 동구 용운로 204(용운동. 대전용운초등학교),본교,442,127.4637546,36.3262366,용운동,9.5039701461792,7.224184989929199,42.849388122558594,미운영,7.600646976675279,6,0
초,공립,동구,대전용전초등학교,대전광역시 동구 계족로505번길 49(용전동.대전용전초등학교),본교,534,127.4303126,36.3561565,용전동,0.5493020415306091,3.1243715286254883,15.765957832336426,미운영,4.159787724239271,16,0
초,공립,동구,대전은어송초등학교,대전광역시 동구 대전로 396. 대전은어송초등학교 (대성동),본교,836,127.4568136,36.3024663,산내동,0.7068012952804565,2.1434543132781982,23.92742347717285,미운영,8.390189693032639,5,0
초,공립,동구,대전자양초등학교,대전광역시 동구 계족로 184-55.(대전자양초등학교.자양동),본교,81,127.4428747,36.3335584,자양동,1.533167839050293,4.88891077041626,35.65131378173828,미운영,5.561497444014216,12,0
초,공립,동구,대전천동초등학교,대전광역시 동구 안샘로 8(천동) 대전천동초등학교,본교,951,127.4451593,36.3161208,효동,2.886425018310547,5.7232842445373535,32.74738693237305,미운영,6.640356120411913,13,0
초,공립,동구,대전판암초등학교,대전광역시 동구 옥천로180번길 32(판암동),본교,285,127.4605179,36.3159027,판암1동,0.1452060937881469,4.198124885559082,31.337289810180664,미운영,7.822199253630971,9,0
초,공립,동구,대전현암초등학교,대전광역시 동구 현암로 19. 대전현암초등학교 (삼성동),본교,113,127.4203907,36.3418691,삼성동,3.487145185470581,1.0201623439788818,7.475639820098877,미운영,3.3566884360809164,14,0
초,공립,동구,대전흥룡초등학교,대전광역시 동구 동대전로256번길 21(가양동. 대전흥룡초등학교),본교,288,127.4480505,36.3451544,가양2동,2.116255283355713,2.887370347976685,13.881114959716797,미운영,5.732013520485098,8,0
초,공립,동구,동대전초등학교,대전광역시 동구 비래서로62번길 60(가양동. 동대전초등학교),본교,401,127.4492505,36.3519283,가양2동,3.607135772705078,3.791258573532105,18.55837821960449,미운영,5.812303111050636,7,0
초,공립,동구,동명초등학교,대전광역시 동구 천개동로 16(추동),본교,46,127.4742921,36.3741217,대청동,2.2774977684021,8.243550300598145,36.501991271972656,운영,8.474419818150455,0,1
초,공립,동구,산내초등학교,대전광역시 동구 산내로 1292(낭월동. 산내초등학교),본교,395,127.4700311,36.2792732,산내동,0.7730563282966614,7.669312000274658,45.03050231933594,운영,11.008817477011362,0,1
초,공립,동구,산흥초등학교,대전광역시 동구 산내로 509(상소동. 산흥초등학교),본교,54,127.4483897,36.228975,산내동,5.497708797454834,14.364956855773926,43.89556121826172,운영,14.639465309206402,0,1
초,공립,동구,세천초등학교,대전광역시 동구 옥천로 610-12(세천동.세천초등학교),본교,47,127.4937835,36.3415266,대청동,3.853111743927002,10.222576141357422,48.6875,운영,9.85553666111973,0,1
초,공립,중구,대전글꽃초등학교,대전광역시 중구 계룡로918번길 97대전글꽃초등학교 (문화동),본교,770,127.4097377,36.3186639,문화1동,1.981459140777588,1.6043883562088013,8.554062843322754,미운영,4.185915409439131,17,0
초,공립,중구,대전대문초등학교,대전광역시 중구 송리로 11(문화동. 대전대문초등학교),본교,156,127.4004173,36.3068833,문화2동,1.861422538757324,7.201216220855713,34.0651969909668,미운영,5.033884241960613,9,0
초,공립,중구,대전대신초등학교,대전광역시 중구 솔밭로16번길 17(대사동. 대전대신초등학교),본교,44,127.4208517,36.3156991,대사동,9.892141342163086,15.29282283782959,43.45695495605469,미운영,5.045681084541699,11,0
초,공립,중구,대전대흥초등학교,대전광역시 중구 수도산로 12(대흥동. 대흥초등학교),본교,388,127.4258441,36.3198058,대흥동,0.4506808519363403,3.1477038860321045,27.11832046508789,미운영,5.028251801356982,14,0
초,공립,중구,대전동문초등학교,대전광역시 중구 문화로 200(문화동. 대전동문초등학교),본교,186,127.4070326,36.3140992,문화1동,11.54810619354248,3.4382143020629883,22.633901596069336,미운영,4.505815799818552,16,0
초,공립,중구,대전목동초등학교,대전광역시 중구 목중로 19번길. 70 (목동),본교,640,127.4082366,36.3345455,목동,1.893186330795288,4.987293720245361,37.426944732666016,미운영,2.762196363093482,18,0
초,공립,중구,대전목양초등학교,대전광역시 중구 목동로 69(목동. 목양초등학교),본교,602,127.4048004,36.3367275,목동,0.3526302576065063,5.875020503997803,40.99125671386719,미운영,2.3703220147615425,18,0
초,공립,중구,대전문성초등학교,대전광역시 중구 유등천동로292번길 89-14. 대전문성초등학교 (산성동),본교,108,127.3904473,36.3088516,산성동,0.1780604124069214,1.0171459913253784,5.80925989151001,미운영,4.639393614057752,14,0
초,공립,중구,대전문창초등학교,대전광역시 중구 문창로 55(부사동. 대전문창초등학교),본교,117,127.4338246,36.3173655,부사동,0.3817934691905975,0.6560110449790955,3.1661415100097656,미운영,5.746489360748726,10,0
초,공립,중구,대전문화초등학교,대전광역시 중구 문화로78번안길 70(문화동. 대전문화초등학교),본교,200,127.3969643,36.3113812,문화2동,0.7390038967132568,1.4933288097381592,12.815434455871582,미운영,4.470235063611268,14,0
초,공립,중구,대전버드내초등학교,대전광역시 중구 태평로 21. 대전버드내초등학교 (태평동),본교,630,127.3915009,36.3194287,태평2동,0.5065888166427612,0.6029883027076721,4.012913227081299,미운영,3.492348943442513,19,0
초,공립,중구,대전보성초등학교,대전광역시 중구 보문산로141번길 34(문화동. 대전보성초등학교),본교,190,127.3964886,36.3066382,문화2동,2.423499822616577,6.953676223754883,45.30810928344727,미운영,4.971924855614848,12,0
초,공립,중구,대전보운초등학교,대전광역시 중구 대종로315번길 42(부사동.대전보운초등학교),본교,115,127.4318082,36.3143908,부사동,0.478651225566864,1.856817483901977,17.304534912109375,미운영,5.829266878258429,8,0
초,공립,중구,대전산성초등학교,대전광역시 중구 대둔산로 332(사정동.산성초등학교),본교,327,127.3854134,36.2990113,산성동,0.3663127422332763,5.687214374542236,38.0848503112793,미운영,5.700664804063133,9,0
초,공립,중구,대전석교초등학교,대전광역시 중구 대종로204번길 12(석교동.대전석교초등학교),본교,163,127.4462254,36.3086634,석교동,2.8368849754333496,2.752756357192993,19.226625442504883,미운영,7.219606063542442,10,0
초,공립,중구,대전선화초등학교,대전광역시 중구 선화로 159(선화동. 대전선화초등학교),본교,701,127.4234663,36.3326733,은행선화동,0.1108676120638847,1.836969494819641,14.110204696655272,미운영,4.011654296501801,20,0
초,공립,중구,대전신평초등학교,대전광역시 중구 유등천동로 478. 대전신평초등학교 (태평동.대전신평초등학교),본교,314,127.3897213,36.3234302,태평2동,0.2288264036178589,1.3191107511520386,15.390564918518066,미운영,3.0279925444872746,17,0
초,공립,중구,대전오류초등학교,대전광역시 중구 오류로 46(오류동),본교,249,127.4047562,36.324966,오류동,0.2160727381706237,1.4871073961257937,17.532699584960938,미운영,3.356110632414574,20,0
